<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
FATH,D,20231005,5.31,5.6699,4.5,4.57,12800
FBIN,D,20231005,60.37,60.9,59.81,60.59,1014300
FBK,D,20231005,28.77,29.34,28.75,29.22,169800
FBP,D,20231005,13.37,13.82,13.37,13.76,1360300
FBR-E,D,20231005,18.89,18.9,18.61,18.78,17700
FBRT,D,20231005,12.61,13.28,12.61,13.07,721700
FC,D,20231005,41.82,41.82,40.92,41.47,50200
FCF,D,20231005,12.14,12.435,12.14,12.43,777800
FCN,D,20231005,184.42,191.3,183.015,187.86,397300
FCPT,D,20231005,22,22.25,21.985,22.01,686400
FCRX,D,20231005,23.38,23.54,23.15,23.54,2700
FCT,D,20231005,9.84,9.925,9.81,9.86,60300
FCX,D,20231005,35.8,36.035,35.035,35.37,13218300
FDEU,D,20231005,12.02,12.09,12.002,12.09,14300
FDP,D,20231005,25.52,25.955,25.52,25.83,177400
FDS,D,20231005,447.45,452.595,446.7,449.19,325000
FDX,D,20231005,258.7,260.08,257.485,259.16,1460100
FE,D,20231005,33.53,33.975,33.14,33.78,4748300
FEI,D,20231005,7.5,7.56,7.49,7.54,64000
FENG,D,20231005,1.3,1.32,1.3,1.32,1300
FERG,D,20231005,161.43,162.9,160.6672,161.2,1159500
FET,D,20231005,21.9,22.375,21.9,22.23,32700
FF,D,20231005,6.93,7.03,6.92,7,288900
FFA,D,20231005,16.94,16.94,16.71,16.85,26400
FFC,D,20231005,12.5,12.56,12.07,12.37,250800
FFWM,D,20231005,5.62,5.99,5.62,5.98,593100
FG,D,20231005,27,27.75,27,27.66,107600
FGB,D,20231005,3.16,3.2292,3.16,3.1965,27500
FHI,D,20231005,32.98,33.57,32.78,33.54,727900
FHN,D,20231005,10.4,10.58,10.37,10.48,6324300
FHN-B,D,20231005,21.69,21.7161,21.57,21.6,3500
FHN-C,D,20231005,21.5629,21.5629,21.5629,21.5629,200
FHN-D,D,20231005,22.95,23,22.9,22.98,10800
FHN-E,D,20231005,20,20.27,19.793,20.2242,7200
FHN-F,D,20231005,13.81,13.9133,13.55,13.6,17700
