<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20230821,1.27,1.28,1.21,1.21,10600
AADI,D,20230821,5.83,6.08,5.825,6.07,66300
AADR,D,20230821,49.36,50.66,49.36,50.66,2300
AAL,D,20230821,15.06,15.2,14.95,15.16,23656200
AAME,D,20230821,1.85,1.94,1.76,1.905,6200
AAOI,D,20230821,13.49,15.59,13.36,15.44,7897800
AAON,D,20230821,61.76,62.03,61.23,61.97,293300
AAPB,D,20230821,24.22,24.37,23.91,24.32,14000
AAPD,D,20230821,22.3,22.47,22.19,22.22,77100
AAPL,D,20230821,175.07,176.13,173.735,175.84,46311800
AAPU,D,20230821,24.76,24.97,24.49,24.92,110400
AAXJ,D,20230821,63.8,64.2,63.76,64.16,852500
ABCB,D,20230821,41.25,41.5,40.24,40.63,179400
ABCL,D,20230821,5.5,5.68,5.45,5.58,1248800
ABCM,D,20230821,21.73,22.815,21.54,22.23,1588400
ABEO,D,20230821,3.8,4.11,3.75,3.79,216700
ABIO,D,20230821,2.05,2.0642,2.01,2.05,34000
ABL,D,20230821,7.5,7.53,7.25,7.32,12300
ABLLW,D,20230821,0.2772,0.396,0.2651,0.3001,308100
ABLV,D,20230821,4.9,5.65,4.9,5.1,170500
ABLVW,D,20230821,0.0351,0.0699,0.0351,0.05,78000
ABNB,D,20230821,126.15,126.54,123.49,124,4875900
ABOS,D,20230821,6.29,6.63,6.12,6.59,411000
ABSI,D,20230821,1.7,1.73,1.63,1.67,550200
ABUS,D,20230821,2.04,2.08,2.0114,2.05,708800
ABVC,D,20230821,1.82,2.1,1.7601,2,213100
ACAB,D,20230821,10.53,10.56,10.53,10.54,8700
ACAC,D,20230821,10.89,10.89,10.89,10.89,80000
ACACW,D,20230821,0.055,0.055,0.055,0.055,600
ACAD,D,20230821,29.33,30.485,28.75,30.32,1991100
ACB,D,20230821,0.51,0.5148,0.498,0.498,1862000
ACBA,D,20230821,11.395,11.395,11.395,11.395,100
ACCD,D,20230821,12.95,13.17,12.72,13.02,549600
ACDC,D,20230821,11.04,11.08,10.65,10.66,593700
ACDCW,D,20230821,0.006,0.006,0.006,0.006,1000
ACER,D,20230821,0.711,0.72,0.69,0.69,122400
ACET,D,20230821,1.94,1.945,1.8534,1.89,242900
ACGL,D,20230821,75.65,75.7,73.74,74.95,1212400
ACGLN,D,20230821,18.21,18.26,18.08,18.18,30600
ACGLO,D,20230821,21.9286,21.9286,21.5,21.5,9600
ACGN,D,20230821,0.433,0.4411,0.38,0.38,53000
ACHC,D,20230821,75.13,76.18,74.845,75.65,465200
ACHL,D,20230821,0.921,0.9496,0.9,0.9493,29800
ACHV,D,20230821,5,5.2,4.88,4.88,83100
ACIC,D,20230821,7.93,7.99,7.35,7.6,302800
ACIU,D,20230821,3.04,3.1198,3,3.08,53800
ACIW,D,20230821,22.71,22.8,22.5,22.6,264600
ACLS,D,20230821,165.71,171.78,165.71,171.43,304900
ACLX,D,20230821,34.67,35.75,34.28,35.12,339300
ACMR,D,20230821,13.01,13.82,13.01,13.73,708300
ACNB,D,20230821,32.74,32.93,32.54,32.69,14300
ACNT,D,20230821,8.96,8.96,8.9,8.9,1500
ACON,D,20230821,0.473,0.5,0.46,0.47,14700
ACOR,D,20230821,16.21,16.835,16.13,16.5,6300
ACRS,D,20230821,7.14,7.45,7.14,7.34,447900
ACRV,D,20230821,11.04,11.67,10.59,11.11,6800
ACRX,D,20230821,0.87,1.11,0.868,1.11,852900
ACST,D,20230821,2.12,2.2,2.1001,2.19,6300
ACT,D,20230821,28.8,28.93,28.1125,28.46,91600
ACTG,D,20230821,3.71,3.78,3.66,3.74,255300
ACVA,D,20230821,15.53,15.74,15.5,15.55,745200
ACWI,D,20230821,93.99,94.37,93.505,94.22,1641600
ACWX,D,20230821,47.65,47.83,47.51,47.79,962300
ACXP,D,20230821,1.9,2.0482,1.895,1.99,54700
ADAG,D,20230821,1.1673,1.27,1.1673,1.1901,6200
ADAP,D,20230821,0.8,0.82,0.772,0.8,320700
ADBE,D,20230821,510.29,522.98,510.29,520.47,2428200
ADD,D,20230821,1.22,1.2732,1.2101,1.268,22400
ADEA,D,20230821,9.88,9.95,9.82,9.91,538100
ADER,D,20230821,11.11,11.2,10.976,11.15,155300
ADERW,D,20230821,0.1363,0.2881,0.1103,0.1986,41900
ADES,D,20230821,2,2.04,1.91,1.91,31300
ADI,D,20230821,176.12,177.66,174.22,177.22,3345900
