<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20240123,1.03,1.0312,0.95,1.0312,3000
AACI,D,20240123,10.8901,10.902,10.8901,10.902,300
AADI,D,20240123,1.68,1.76,1.67,1.74,379700
AADR,D,20240123,55.3,55.3,54.43,54.43,400
AAGR,D,20240123,0.79,0.899,0.7015,0.89,192800
AAL,D,20240123,14.14,14.4701,13.93,14,49961900
AAME,D,20240123,2.55,2.62,2.49,2.5,17600
AAOI,D,20240123,17.18,18.63,17.18,18.13,2990600
AAON,D,20240123,72.82,73.44,70.56,70.7,280500
AAPB,D,20240123,23.35,23.38,23.15,23.36,36800
AAPD,D,20240123,19.95,20.05,19.87,19.94,118800
AAPL,D,20240123,195.02,195.75,193.8299,195.18,42355500
AAPU,D,20240123,27.76,27.89,27.5133,27.79,91100
AAXJ,D,20240123,62.74,63.195,62.64,63.11,815100
ABAT,D,20240123,2.93,2.9598,2.56,2.81,1232200
ABCB,D,20240123,53.59,53.6,52.5,52.5,336200
ABCL,D,20240123,5.52,5.62,5.18,5.31,886400
ABCS,D,20240123,24.99,25.02,24.9465,24.988,5300
ABEO,D,20240123,5.1,5.1,4.78,4.87,168100
ABIO,D,20240123,1.59,1.6,1.57,1.58,23400
ABL,D,20240123,12.14,12.64,11.84,11.97,184300
ABLLL,D,20240123,25.4,25.54,25.4,25.54,1700
ABLLW,D,20240123,0.9601,1.05,0.9254,0.94,327800
ABLV,D,20240123,2.67,2.705,2.54,2.58,144600
ABNB,D,20240123,142.75,143.93,140.52,142.3,3882100
ABOS,D,20240123,3.4,3.48,3.295,3.33,321900
ABSI,D,20240123,3.76,3.8,3.56,3.65,913100
ABTS,D,20240123,1.02,1.1,0.9999,1.05,109900
ABUS,D,20240123,2.39,2.405,2.36,2.4,315100
ABVC,D,20240123,1.25,1.32,1.2279,1.32,222700
ABVX,D,20240123,11.5,12.05,11.3701,11.94,145200
ACABW,D,20240123,0.0442,0.0442,0.0442,0.0442,100
ACACU,D,20240123,11.35,11.35,11.35,11.35,100
ACAD,D,20240123,28.16,28.47,27.56,28.15,1555300
ACAH,D,20240123,11.075,11.075,10.6,10.62,1300
ACAHU,D,20240123,10.63,10.68,10.63,10.66,3000
ACB,D,20240123,0.4238,0.4275,0.41,0.412,3667500
ACBA,D,20240123,11.86,11.92,11.85,11.92,1800
ACCD,D,20240123,12.18,12.38,11.41,11.73,524300
ACDC,D,20240123,7.47,7.53,7.14,7.37,728300
ACET,D,20240123,2.63,2.68,2.39,2.51,5098800
ACGL,D,20240123,80.43,81.02,80.0125,80.34,1178600
ACGLN,D,20240123,20.13,20.1884,19.9201,20.06,16300
ACGLO,D,20240123,23.37,23.37,23.0401,23.15,8600
ACHC,D,20240123,85.43,85.595,83.97,84.16,321600
ACHL,D,20240123,0.84,0.9187,0.84,0.9,525100
ACHV,D,20240123,4.54,4.7999,4.44,4.63,35400
ACIC,D,20240123,11.8,11.865,11.47,11.705,256200
ACIU,D,20240123,4.02,4.1291,4.02,4.1,44200
ACIW,D,20240123,30.93,30.93,30.37,30.76,505100
ACLS,D,20240123,138.98,140.64,136.6321,139.33,709900
ACLX,D,20240123,57.75,58.21,55,56.08,374300
ACMR,D,20240123,21.5,22.31,20.8745,21,1615400
ACNB,D,20240123,46.99,46.99,46.255,46.29,11400
ACNT,D,20240123,10.68,10.6839,10.41,10.41,5800
ACON,D,20240123,2.27,2.44,2.13,2.15,133300
ACONW,D,20240123,0.034,0.0604,0.034,0.0345,29700
ACOR,D,20240123,16.88,17.22,16.52,16.77,3900
ACRS,D,20240123,1.24,1.32,1.24,1.28,2272700
ACRV,D,20240123,4.57,4.855,4.18,4.25,22800
ACST,D,20240123,2.31,2.445,2.2973,2.4253,5400
ACT,D,20240123,28.53,28.54,28.3,28.4,171000
ACTG,D,20240123,3.98,4.0101,3.935,4,135200
ACVA,D,20240123,14.25,14.44,13.975,14.06,765100
ACWI,D,20240123,101.82,102.065,101.59,102.04,12402400
ACWX,D,20240123,49.48,49.71,49.455,49.67,1687900
ACXP,D,20240123,3.92,3.94,3.75,3.78,115400
ADAG,D,20240123,2.85,3.45,2.76,3.245,245900
ADAP,D,20240123,0.73,0.78,0.7201,0.76,596200
ADBE,D,20240123,602.21,604.32,591.34,597.18,2723400
ADD,D,20240123,0.3647,0.3799,0.3647,0.3777,32800
ADEA,D,20240123,12,12.13,11.8,12.08,436400
ADES,D,20240123,3.08,3.11,2.96,2.99,83900
ADI,D,20240123,197.14,201.57,196.89,201.37,3801000
ADIL,D,20240123,1.34,1.34,1.25,1.2676,17400
ADMA,D,20240123,5.33,5.34,5.17,5.27,3246600
ADN,D,20240123,0.165,0.165,0.16,0.1605,470800
ADNWW,D,20240123,0.03,0.03,0.0233,0.0242,29000
ADOC,D,20240123,11.58,11.58,11.58,11.58,100
ADOCR,D,20240123,0.12,0.145,0.1001,0.1001,600
ADP,D,20240123,239.4,240.5,238.43,240.36,1245100
ADPT,D,20240123,4.36,4.43,4.225,4.37,963400
ADSE,D,20240123,6.8,6.85,6.5747,6.75,6100
ADSK,D,20240123,251.18,253.24,249.31,252.78,1030000
