<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20240119,1.05,1.1053,1.05,1.09,2300
AADI,D,20240119,1.7,1.7,1.57,1.63,279200
AADR,D,20240119,53.8779,54.69,53.8779,54.69,600
AAGR,D,20240119,0.8396,0.86,0.8101,0.845,44400
AAL,D,20240119,13.83,13.83,13.41,13.66,38805400
AAME,D,20240119,2.62,2.66,2.53,2.63,8100
AAOI,D,20240119,16.61,16.7984,15.02,15.81,3512800
AAON,D,20240119,70.79,70.805,69.6,70.32,405900
AAPB,D,20240119,22.13,22.6,22,22.56,43000
AAPD,D,20240119,20.53,20.59,20.26,20.29,262400
AAPL,D,20240119,189.33,191.95,188.82,191.56,68902900
AAPU,D,20240119,26.55,27.11,26.46,27.02,133900
AAXJ,D,20240119,62.7,63.235,62.38,63.17,646300
ABAT,D,20240119,2.97,2.97,2.6,2.605,729000
ABCB,D,20240119,50.27,51.57,49.42,51.54,316600
ABCL,D,20240119,5.19,5.325,5.06,5.24,1182900
ABCS,D,20240119,24.55,24.81,24.55,24.7701,1400
ABEO,D,20240119,4.94,5.03,4.88,5,79100
ABIO,D,20240119,1.59,1.62,1.56,1.61,41700
ABL,D,20240119,11.4,12.165,11.36,12,92800
ABLLL,D,20240119,25.4,25.474,25.2,25.36,1700
ABLLW,D,20240119,0.93,1.05,0.91,0.985,162000
ABLV,D,20240119,2.56,2.83,2.56,2.71,147200
ABLVW,D,20240119,0.0446,0.0449,0.0446,0.0449,1300
ABNB,D,20240119,138.6,140.285,136.32,139.93,4089000
ABOS,D,20240119,3.65,3.66,3.395,3.62,355000
ABSI,D,20240119,3.59,3.59,3.09,3.41,1629200
ABTS,D,20240119,1,1.03,0.97,0.98,87900
ABUS,D,20240119,2.34,2.36,2.28,2.36,891900
ABVC,D,20240119,1.23,1.26,1.2,1.25,240000
ABVX,D,20240119,11.36,11.83,10.91,11.57,188300
ACACU,D,20240119,11.79,11.79,11.79,11.79,100
ACAD,D,20240119,27.68,27.68,27.01,27.29,2317100
ACAH,D,20240119,10.61,11.64,10.61,10.61,3500
ACAHW,D,20240119,0.026,0.026,0.026,0.026,300
ACB,D,20240119,0.4131,0.419,0.397,0.4114,5564700
ACBA,D,20240119,11.85,12,11.85,12,1700
ACCD,D,20240119,11.99,11.99,11.31,11.74,830700
ACDC,D,20240119,7.15,7.28,7.06,7.24,700100
ACET,D,20240119,2.44,2.46,2.315,2.44,265100
ACGL,D,20240119,79.66,81.37,79.66,80.88,1996900
ACGLN,D,20240119,19.93,19.94,19.76,19.87,35900
ACGLO,D,20240119,23.06,23.205,22.95,23.12,29500
ACHC,D,20240119,85.08,85.95,84.285,85.92,296300
ACHL,D,20240119,0.8,0.8529,0.8,0.8227,52200
ACHV,D,20240119,4.26,4.58,4.26,4.52,44000
ACIC,D,20240119,12.01,12.07,11.39,11.5,544900
ACIU,D,20240119,4.16,4.2,4.06,4.15,62300
ACIW,D,20240119,29.78,30.02,29.33,30.01,485400
ACLS,D,20240119,127.54,131.845,125.4101,131.64,815200
ACLX,D,20240119,53.74,55.33,53.28,55.27,444600
ACMR,D,20240119,20.27,20.54,19.7245,20.46,1065000
ACNB,D,20240119,44.27,44.82,43.84,44.79,25700
ACNT,D,20240119,10.39,10.7,10.25,10.7,3300
ACON,D,20240119,3.07,3.2499,2.8,2.81,126200
ACONW,D,20240119,0.0349,0.0349,0.034,0.034,2000
ACOR,D,20240119,17.5,17.5,16.61,16.61,5700
ACRS,D,20240119,1.18,1.2,1.1314,1.14,1997100
ACRV,D,20240119,4.38,4.63,4.14,4.35,11900
ACST,D,20240119,2.38,2.4658,2.2752,2.44,11300
ACT,D,20240119,28.13,28.16,27.83,28.06,377200
ACTG,D,20240119,3.75,3.8301,3.68,3.79,202400
ACVA,D,20240119,14.02,14.1,13.451,13.66,1099400
ACWI,D,20240119,100.81,101.69,100.56,101.67,3887600
ACWX,D,20240119,49.32,49.67,49.18,49.65,1821100
ACXP,D,20240119,3.95,3.95,3.5701,3.69,324200
ADAG,D,20240119,3.2,3.22,2.4505,2.64,394700
ADAP,D,20240119,0.715,0.7722,0.69,0.7026,735900
ADBE,D,20240119,593.81,612.07,589.13,611.55,3755300
ADD,D,20240119,0.3303,0.341,0.293,0.3333,109000
ADEA,D,20240119,11.35,11.48,11.11,11.41,405000
ADES,D,20240119,2.87,3.0819,2.73,2.91,314000
ADI,D,20240119,191.36,195.58,191.04,194.77,4408400
ADIL,D,20240119,1.31,1.405,1.275,1.275,10500
ADMA,D,20240119,5.06,5.06,4.8605,5.01,1949300
ADN,D,20240119,0.164,0.1728,0.1555,0.1624,708300
ADNWW,D,20240119,0.0265,0.03,0.0231,0.0299,12000
ADOCR,D,20240119,0.1001,0.1001,0.1001,0.1001,2900
ADOCW,D,20240119,0.0124,0.0147,0.0082,0.0082,3800
ADP,D,20240119,236.7,239.22,234.64,238.24,1822200
ADPT,D,20240119,4.1,4.19,3.94,4.12,1153900
ADSE,D,20240119,6.85,6.85,6.355,6.84,12800
ADSK,D,20240119,242.37,249.05,241.73,248.64,1205700
ADTH,D,20240119,2.28,2.35,2.191,2.31,178700
ADTHW,D,20240119,0.1162,0.1499,0.1162,0.1499,2000
ADTN,D,20240119,7.08,7.08,6.89,7.03,366900
ADTX,D,20240119,4.25,4.3,3.88,4,165900
ADUS,D,20240119,91.03,91.33,89.695,91.19,60000
ADV,D,20240119,3.75,3.9,3.69,3.88,559900
ADVM,D,20240119,0.84,0.87,0.825,0.8481,359600
ADVWW,D,20240119,0.1289,0.1289,0.1,0.1,36500
ADXN,D,20240119,6.9,7.3,6.4501,7.05,2800
AEHL,D,20240119,1.7,1.82,1.6147,1.7004,195300
AEHR,D,20240119,17.14,17.155,16.59,16.6,2979500
AEI,D,20240119,1.46,1.5,1.415,1.49,27400
AEIS,D,20240119,103.85,105.9,101.98,105.61,301000
AEMD,D,20240119,1.98,1.99,1.895,1.895,3800
AENT,D,20240119,1.38,1.4899,1.36,1.46,34800
AENTW,D,20240119,0.026,0.026,0.015,0.025,15800
AEP,D,20240119,78.24,78.49,77.04,77.7,4301500
AERT,D,20240119,2.16,2.31,2.0001,2.31,58300
AEY,D,20240119,2.4,2.5,2.4,2.5,8700
AEYE,D,20240119,5.3,5.39,5.02,5.15,54900
AEZS,D,20240119,1.95,2.01,1.9319,2,20900
AFAR,D,20240119,10.98,10.99,10.98,10.99,1900
AFARW,D,20240119,0.0128,0.0128,0.0128,0.0128,100
AFBI,D,20240119,16.44,16.5,16.1,16.1,13300
AFCG,D,20240119,11.7,11.83,11.5181,11.83,72400
AFIB,D,20240119,0.17,0.18,0.16,0.177,187100
AFJKU,D,20240119,10.32,10.32,10.32,10.32,500
AFMD,D,20240119,0.6,0.61,0.5716,0.5911,638400
AFRI,D,20240119,10.66,10.66,10.5,10.6,9300
AFRIW,D,20240119,1.3101,1.36,1.3101,1.35,4000
AFRM,D,20240119,40.28,42.24,39.445,42.175,12593300
AFYA,D,20240119,22.17,22.48,21.42,22.37,105300
AGAE,D,20240119,1.1,1.17,1.04,1.1,391800
AGBA,D,20240119,0.3831,0.3831,0.3401,0.3609,145400
AGEN,D,20240119,0.58,0.585,0.545,0.578,5558400
AGFY,D,20240119,1.25,1.33,1.02,1.06,2424500
AGIO,D,20240119,21.41,21.8,20.96,21.73,4586100
AGMH,D,20240119,1.7119,1.82,1.7119,1.82,1000
AGNC,D,20240119,9.81,9.8168,9.52,9.79,17837700
AGNCL,D,20240119,22.04,22.12,21.85,22.12,16200
AGNCM,D,20240119,24.19,24.24,24.13,24.23,11100
AGNCN,D,20240119,25.36,25.4699,25.35,25.46,29200
AGNCO,D,20240119,24.11,24.35,24.05,24.33,27400
AGNCP,D,20240119,22.495,22.83,22.432,22.83,21000
AGNG,D,20240119,28.24,28.31,28.02,28.31,3200
AGRI,D,20240119,0.3201,0.3438,0.3049,0.3139,191300
AGRIW,D,20240119,0.0053,0.0053,0.0053,0.0053,10700
AGRX,D,20240119,1.55,1.8088,1.42,1.455,153700
AGYS,D,20240119,78.99,82.93,78.8,82.84,336700
AGZD,D,20240119,21.92,21.99,21.88,21.99,14900
AHCO,D,20240119,6.83,6.89,6.665,6.87,579600
AHG,D,20240119,1.24,1.34,1.21,1.26,13700
AHI,D,20240119,1.71,1.71,1.5714,1.6101,27100
AIA,D,20240119,53.75,54.45,53.5,54.39,29700
AIB,D,20240119,11.5562,11.5562,11.5562,11.5562,100
AIH,D,20240119,0.5667,0.61,0.5667,0.61,1000
AIHS,D,20240119,0.52,0.5494,0.4601,0.5063,69000
AIMAW,D,20240119,0.0198,0.02,0.0198,0.02,42500
AIMD,D,20240119,1.24,1.24,1.13,1.17,25700
AIMDW,D,20240119,0.12,0.12,0.12,0.12,100
AIP,D,20240119,5.11,5.27,5.03,5.24,126600
AIQ,D,20240119,30.96,31.355,30.86,31.35,633000
AIRE,D,20240119,1.38,1.4099,1.29,1.34,153100
AIRG,D,20240119,3.27,3.32,3.0557,3.3,6200
AIRL,D,20240119,24.15,24.15,23.85,24.0558,700
AIRR,D,20240119,54.46,54.55,53.5629,54.4,99200
AIRS,D,20240119,8,8,7.5859,7.765,291700
AIRT,D,20240119,14.02,14.8373,14.02,14.6,3200
AIRTP,D,20240119,17.2,17.2,17.2,17.2,400
AISP,D,20240119,1.5,1.5,1.415,1.5,195700
AISPW,D,20240119,0.021,0.041,0.021,0.021,23100
AITR,D,20240119,10.2,10.24,10.2,10.21,577600
AIXI,D,20240119,1.75,1.75,1.6001,1.6101,167700
AKAM,D,20240119,119.64,120.68,119.23,120.35,1710400
AKAN,D,20240119,0.41,0.4344,0.402,0.413,64200
AKBA,D,20240119,1.41,1.42,1.29,1.4,2832400
