<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
A,D,20231130,128,128.45,126.965,127.8,2442900
AA,D,20231130,26.58,27.245,26.4399,26.86,4823400
AAC.T,D,20231130,0.18,0.18,0.18,0.18,411100
AACT,D,20231130,10.37,10.37,10.37,10.37,65100
AAI-B,D,20231130,21.135,21.135,20.93,20.93,400
AAIC,D,20231130,4.68,4.73,4.675,4.69,292200
AAIN,D,20231130,23.57,23.58,23.57,23.58,600
AAN,D,20231130,9.09,9.125,8.78,8.81,1425300
AAP,D,20231130,51.87,51.9686,50.2,50.79,1640500
AAT,D,20231130,19.88,20.17,19.63,20.14,729700
AB,D,20231130,28.65,29.1,28.57,28.95,357800
ABBV,D,20231130,138.01,142.7,138.01,142.39,9297300
ABEV,D,20231130,2.72,2.78,2.71,2.74,19360000
ABG,D,20231130,210.51,212.39,204.69,209.82,141700
ABM,D,20231130,41.22,41.22,40.6,40.99,395200
ABR,D,20231130,12.34,12.595,12.25,12.48,4625200
ABR-D,D,20231130,17,17.0001,16.56,16.56,50000
ABR-E,D,20231130,16.55,16.76,16.51,16.68,7600
ABR-F,D,20231130,18.55,19,18.5489,19,24300
ABT,D,20231130,103.75,104.72,103.11,104.29,16766200
AC,D,20231130,33.49,33.62,33.26,33.62,7400
ACA,D,20231130,74.19,74.37,73.67,74.2,242600
ACCO,D,20231130,5.35,5.41,5.265,5.38,774100
ACEL,D,20231130,10.2,10.27,10.08,10.14,424400
ACH.W,D,20231130,1.45,1.45,1.33,1.38,14600
ACHR,D,20231130,6.18,6.2,5.95,5.98,5737700
ACI,D,20231130,21.3,21.86,21.27,21.77,7522500
ACM,D,20231130,88.01,88.9,87.53,88.86,1970700
ACN,D,20231130,334.2,335,332.155,333.14,4298100
ACP,D,20231130,6.16,6.2,6.145,6.16,265500
ACP-A,D,20231130,22.25,22.35,21.7,22.35,2300
ACR,D,20231130,7.66,7.69,7.51,7.51,122200
ACR-C,D,20231130,22.25,22.3,22.1,22.24,28400
ACR-D,D,20231130,20.11,20.96,20.11,20.62,17100
ACRE,D,20231130,10.01,10.14,9.98,10.05,397100
ACRO,D,20231130,10.33,10.37,10.33,10.37,31300
ACV,D,20231130,19.51,19.83,19.4,19.79,50100
ADC,D,20231130,58.36,59.4899,58.29,59.21,1242100
ADC-A,D,20231130,17.19,18.7,17.13,18.05,88500
ADCT,D,20231130,0.82,0.95,0.8094,0.83,1052100
ADM,D,20231130,73.47,74.11,73.27,73.73,5546400
ADNT,D,20231130,32.61,32.82,32.055,32.2,1208900
ADT,D,20231130,5.85,5.935,5.7867,5.87,3251000
ADX,D,20231130,16.99,16.99,16.85,16.96,121100
AEE,D,20231130,77.18,77.67,76.79,77.59,2940500
AEFC,D,20231130,20.73,20.98,20.2901,20.97,124900
AEG,D,20231130,5.46,5.5,5.44,5.49,2330800
AEL,D,20231130,55.25,55.35,55.05,55.16,451100
AEL-A,D,20231130,22.49,23.04,22.49,22.57,105100
AEL-B,D,20231130,24.18,24.52,24.12,24.12,51800
AEM,D,20231130,52.7,53.75,52.1615,53.7,5371700
AENZ,D,20231130,1.96,1.98,1.9598,1.96,4800
AEO,D,20231130,19.2,19.31,18.62,19.03,5797700
AER,D,20231130,66.72,68.23,66.72,68.22,4788400
AES,D,20231130,17.29,17.52,17.04,17.21,8903800
AESC,D,20231130,67.62,68.8102,67.62,68.14,194100
AESI,D,20231130,16.87,17.29,16.82,17.06,948300
AEV.W,D,20231130,0.02,0.0276,0.0175,0.02,718500
AEVA,D,20231130,0.55,0.5692,0.5451,0.5587,473900
AFB,D,20231130,10.36,10.41,10.33,10.39,62500
AFG,D,20231130,111.12,114.55,110.87,114.39,625800
AFGB,D,20231130,23.13,23.65,23,23.65,16200
AFGC,D,20231130,20.15,20.39,20.01,20.39,15700
AFGD,D,20231130,21.69,21.89,21.5,21.85,15300
AFGE,D,20231130,17.94,18.11,17.65,18.11,12800
AFL,D,20231130,81.82,83.0275,81.31,82.71,6219300
AFT,D,20231130,13,13,12.93,12.93,91400
AG,D,20231130,5.85,5.98,5.77,5.97,5169000
AGCO,D,20231130,114.1,114.29,112.49,113.53,856500
AGD,D,20231130,9.15,9.1566,9.07,9.09,59800
AGI,D,20231130,14.52,14.84,14.435,14.81,2309500
AGL,D,20231130,10.7,10.7,10.41,10.62,4960500
AGM,D,20231130,164.77,168.435,164.77,165.84,53200
