<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20231030,1.01,1.05,0.92,1.05,6400
AACI,D,20231030,10.7,10.7001,10.68,10.68,600
AACIU,D,20231030,10.8,10.8,10.7,10.7,200
AADI,D,20231030,4.34,4.48,4.1,4.17,132800
AADR,D,20231030,47.5337,47.686,47.38,47.465,3600
AAL,D,20231030,11.01,11.24,11,11.18,38208400
AAME,D,20231030,1.85,1.86,1.68,1.69,8100
AAOI,D,20231030,7.14,7.31,6.875,7.08,753900
AAON,D,20231030,54.45,54.6,53.6401,54.46,312500
AAPB,D,20231030,22.54,22.55,22.19,22.43,3100
AAPD,D,20231030,23.09,23.09,22.801,22.92,172300
AAPL,D,20231030,169.02,171.17,168.87,170.29,51130900
AAPU,D,20231030,22.98,23.38,22.96,23.23,98500
AAXJ,D,20231030,62.14,62.33,61.8,62.06,365500
ABAT,D,20231030,4.46,5.409,4.12,5.39,704700
ABCB,D,20231030,34.76,37.13,34.76,37,590500
ABCL,D,20231030,3.95,4.06,3.87,4.04,1438900
ABCM,D,20231030,22.9,22.95,22.85,22.92,1763000
ABEO,D,20231030,3.71,3.89,3.7,3.79,42300
ABIO,D,20231030,1.83,1.885,1.795,1.8,37800
ABL,D,20231030,6.13,6.349,6.02,6.1,3400
ABLLW,D,20231030,0.3,0.3396,0.27,0.3152,100000
ABLV,D,20231030,2.355,2.355,2.04,2.1,9500
ABNB,D,20231030,117.15,118.59,115.35,116.95,5218000
ABOS,D,20231030,2.44,2.4484,2.17,2.205,1116000
ABSI,D,20231030,1.25,1.28,1.18,1.2,209900
ABUS,D,20231030,1.73,1.79,1.71,1.78,407600
ABVC,D,20231030,1.36,1.37,1.11,1.21,3273700
ABVX,D,20231030,9.29,9.47,9.04,9.22,173000
ACAB,D,20231030,10.6,10.6,10.59,10.59,12800
ACABW,D,20231030,0.0628,0.11,0.0529,0.0571,14200
ACAC,D,20231030,9.88,10.86,9.88,10.86,600
ACACU,D,20231030,10.97,11.87,10.97,11.1,5900
ACAD,D,20231030,21.97,22.43,21.8963,22.23,834800
ACAH,D,20231030,10.8,11.63,10.48,10.51,73300
ACAHU,D,20231030,11.8,11.8,10.68,10.7,1400
ACAHW,D,20231030,0.035,0.035,0.019,0.023,27600
ACAX,D,20231030,10.6,10.6,10.6,10.6,1200
ACAXU,D,20231030,10.5,11.91,10.5,11.01,4800
ACAXW,D,20231030,0.0319,0.0319,0.0275,0.0275,22000
ACB,D,20231030,0.45,0.455,0.4295,0.4379,5102900
ACBAW,D,20231030,0.041,0.041,0.041,0.041,100
ACCD,D,20231030,6.61,6.78,6.38,6.52,522100
ACDC,D,20231030,9.52,9.66,9.33,9.53,511800
ACDCW,D,20231030,0.005,0.005,0.004,0.004,9000
ACER,D,20231030,0.86,0.86,0.82,0.8301,116300
ACET,D,20231030,1.27,1.34,1.27,1.31,188500
ACGL,D,20231030,82.02,83.13,81.84,82.88,1741000
ACGLN,D,20231030,17.17,17.27,16.95,16.97,22600
ACGLO,D,20231030,20.12,20.3806,20.01,20.03,10700
ACHC,D,20231030,72.88,73.13,71.605,72.81,536400
ACHL,D,20231030,0.8914,0.898,0.87,0.889,13200
ACHV,D,20231030,3.97,3.9852,3.8243,3.98,18900
ACIC,D,20231030,7.37,7.56,7.33,7.51,322500
ACIU,D,20231030,2.71,2.741,2.66,2.69,9300
ACIW,D,20231030,19.93,20.01,19.685,19.92,482700
ACLS,D,20231030,135.82,135.82,120.54,126.265,1626400
ACLX,D,20231030,32.73,34.42,32.425,34.14,866300
ACMR,D,20231030,13.85,14.01,12.53,12.81,3517600
ACNB,D,20231030,33.38,34.15,32.9166,34.15,9300
ACNT,D,20231030,8.47,8.6164,8.2185,8.6164,3300
ACON,D,20231030,0.3243,0.3469,0.3243,0.3291,36600
ACONW,D,20231030,0.053,0.053,0.0355,0.0355,11200
ACOR,D,20231030,10.4552,10.4552,9.6795,10.01,4500
ACRS,D,20231030,4.59,4.75,4.35,4.58,1086600
ACRV,D,20231030,5.06,5.33,5,5.19,11800
ACRX,D,20231030,0.5188,0.5396,0.5003,0.51,62500
ACST,D,20231030,2.31,2.405,2.2847,2.4,17300
ACT,D,20231030,26.97,27.3,26.97,27.2,307400
ACTG,D,20231030,3.57,3.57,3.51,3.53,129100
ACVA,D,20231030,13.29,13.54,12.93,13.44,569100
ACWI,D,20231030,89.35,89.81,89.04,89.62,2524800
ACWX,D,20231030,45.56,45.615,45.3096,45.54,2052200
ACXP,D,20231030,5.43,5.69,4.81,5.67,359200
ADAG,D,20231030,1.36,1.39,1.3001,1.31,2400
ADAP,D,20231030,0.58,0.59,0.54,0.555,197500
ADBE,D,20231030,516.11,530.75,512.24,526.94,2806900
ADD,D,20231030,0.26,0.2998,0.23,0.2305,297100
ADEA,D,20231030,8.36,8.4599,8.14,8.37,358000
ADES,D,20231030,1.71,1.72,1.6801,1.7,19200
ADI,D,20231030,157.62,158.02,154.99,155.88,4421300
ADIL,D,20231030,2.04,2.19,1.8279,1.95,27500
ADMA,D,20231030,3.33,3.39,3.28,3.3,1118700
ADN,D,20231030,0.37,0.3862,0.35,0.3594,154100
ADNWW,D,20231030,0.0351,0.038,0.034,0.034,53100
ADOC,D,20231030,11.5299,11.5299,11.5299,11.5299,100
ADOCR,D,20231030,0.09,0.1498,0.09,0.1435,13800
ADOCW,D,20231030,0.0185,0.019,0.0107,0.0188,5400
ADP,D,20231030,215.68,217.11,213.26,216.08,1704100
ADPT,D,20231030,4.34,4.35,4.075,4.33,858700
ADSE,D,20231030,7.04,7.04,6.47,6.5,12400
ADSK,D,20231030,196.08,198.67,194.62,197.79,1084400
ADTH,D,20231030,1.18,1.2,1.1501,1.19,105700
ADTN,D,20231030,6.43,6.59,6.28,6.31,705500
ADTX,D,20231030,7.48,7.48,6.51,6.5915,20000
ADUS,D,20231030,82.13,83.457,81.66,83.19,76000
ADV,D,20231030,2.2,2.3,2.17,2.25,520500
ADVM,D,20231030,0.9303,0.963,0.87,0.87,221800
ADXN,D,20231030,5.98,6.34,5.98,6.13,3200
AEAE,D,20231030,10.52,10.52,10.52,10.52,200
AEAEW,D,20231030,0.0733,0.0733,0.035,0.0581,54800
