<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20231204,0.8799,0.9042,0.8472,0.8899,9600
AACIW,D,20231204,0.05,0.05,0.05,0.05,100
AADI,D,20231204,5.07,5.3184,5.04,5.13,79800
AADR,D,20231204,53.75,54.1,53.75,54.1,3300
AAL,D,20231204,13.03,13.49,12.93,13.35,50756300
AAME,D,20231204,1.9,1.94,1.88,1.94,1600
AAOI,D,20231204,16.12,17.02,15.99,16.68,3204900
AAON,D,20231204,62.01,64.6,62.01,64.46,370500
AAPB,D,20231204,26.8472,26.8472,26.33,26.74,5100
AAPD,D,20231204,20.64,20.88,20.6275,20.68,152700
AAPL,D,20231204,189.98,190.05,187.4511,189.43,43389500
AAPU,D,20231204,27.27,27.27,26.7,27.15,50000
AAXJ,D,20231204,65.06,65.18,64.7,64.76,1432100
ABAT,D,20231204,4.41,4.92,4.33,4.54,617000
ABCB,D,20231204,44.64,46.5,44.64,46.35,332000
ABCL,D,20231204,4.81,4.93,4.62,4.64,1842800
ABCM,D,20231204,23.98,23.99,23.97,23.98,3729000
ABEO,D,20231204,4.65,4.7,4.32,4.64,408600
ABIO,D,20231204,1.88,1.88,1.78,1.84,19300
ABL,D,20231204,6.99,7.0486,6.9,7.0486,2100
ABLLL,D,20231204,24.5,24.5,24.26,24.26,3300
ABLLW,D,20231204,0.38,0.4,0.34,0.34,9600
ABLV,D,20231204,2.87,2.871,2.61,2.66,17500
ABNB,D,20231204,134,136.75,132.72,133.7,5263300
ABOS,D,20231204,2.62,2.7186,2.58,2.69,760000
ABSI,D,20231204,2.07,2.43,1.74,1.96,3600500
ABTS,D,20231204,0.94,1.09,0.92,1.09,93700
ABUS,D,20231204,2.01,2.08,1.985,2.06,333500
ABVC,D,20231204,1.35,1.46,1.3101,1.45,384900
ABVX,D,20231204,10.14,10.27,9.95,10.27,38900
ACAB,D,20231204,10.6,10.63,10.6,10.63,192000
ACABW,D,20231204,0.02,0.03,0.02,0.02,220300
ACACW,D,20231204,0.0759,0.0759,0.0623,0.0714,1500
ACAD,D,20231204,22.52,23.06,22.42,22.85,1128800
ACAHW,D,20231204,0.0271,0.03,0.015,0.0199,158200
ACAX,D,20231204,10.52,10.575,9.98,10.5,37900
ACAXW,D,20231204,0.0299,0.0299,0.0298,0.0298,1000
ACB,D,20231204,0.4701,0.52,0.4593,0.52,19611800
ACBA,D,20231204,11.75,11.75,11.75,11.75,100
ACCD,D,20231204,9.02,9.2,8.81,9.14,616800
ACDC,D,20231204,8.34,8.53,8.155,8.48,450800
ACET,D,20231204,1.25,1.298,1.2,1.24,347100
ACGL,D,20231204,82.57,83.075,81.5863,81.99,1662500
ACGLN,D,20231204,19.88,19.94,19.65,19.71,40600
ACGLO,D,20231204,22.46,22.769,22.429,22.69,56100
ACHC,D,20231204,73.86,75.1,73.86,74.75,345500
ACHL,D,20231204,0.82,0.8498,0.8101,0.83,80200
ACHV,D,20231204,5.9,5.96,5.76,5.76,51300
ACIC,D,20231204,8.33,8.85,8.33,8.64,3021300
ACIU,D,20231204,3.4,3.43,3.17,3.35,74400
ACIW,D,20231204,27.36,27.91,27.22,27.6,597700
ACLS,D,20231204,124.05,125.16,121.5,125.11,390500
ACLX,D,20231204,54.94,55.43,53.36,55.19,640400
ACMR,D,20231204,16.64,16.72,16.19,16.62,649300
ACNB,D,20231204,40.97,41.75,40.71,41.75,23500
ACNT,D,20231204,8.075,8.08,7.995,8.08,9600
