<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
A,D,20231027,104.54,104.78,102.4,102.77,2004000
AA,D,20231027,23.98,24.11,23.17,23.51,6325000
AAC,D,20231027,9.75,9.7999,9.4401,9.75,75100
AAC.U,D,20231027,9.89,9.89,9.89,9.89,100
AAC.W,D,20231027,0.67,0.67,0.63,0.65,222100
AAI-B,D,20231027,19.67,19.68,19.67,19.68,800
AAI-C,D,20231027,23.7396,23.7396,23.55,23.63,4600
AAIC,D,20231027,4.18,4.19,4.09,4.13,137100
AAIN,D,20231027,23.02,23.33,23,23.01,2600
AAN,D,20231027,7.33,7.45,7.19,7.22,424900
AAP,D,20231027,50.99,51.27,49.71,49.9,1235500
AAT,D,20231027,17.82,17.91,17.52,17.71,321000
AB,D,20231027,28.75,29.91,28.41,28.52,536300
ABBV,D,20231027,138.77,143,136.03,138.93,9427200
ABEV,D,20231027,2.53,2.53,2.425,2.44,9261300
ABG,D,20231027,189.65,190.3476,185.13,186.56,193600
ABM,D,20231027,39.51,39.58,38.99,39.23,297200
ABR,D,20231027,13.32,13.79,12.21,12.6,10348000
ABR-D,D,20231027,16.55,16.55,16,16.03,62900
ABR-E,D,20231027,16.25,16.55,16.0601,16.2,9200
ABR-F,D,20231027,17.74,17.75,17.38,17.38,20400
ABT,D,20231027,94.75,95.32,92.38,92.85,5934100
AC,D,20231027,33.61,33.72,33.39,33.69,5700
ACA,D,20231027,67.74,68.1,66.24,66.97,156900
ACCO,D,20231027,5.05,5.06,4.86,4.89,602700
ACEL,D,20231027,9.79,9.86,9.64,9.74,264500
ACH.W,D,20231027,1.02,1.05,0.94,0.97,25800
ACHR,D,20231027,4.72,4.7999,4.425,4.45,3661000
ACI,D,20231027,21.85,21.89,21.65,21.73,1847100
ACM,D,20231027,76.35,76.47,74.4,74.81,581900
ACN,D,20231027,291.93,293.04,288.46,290.04,1480300
ACP,D,20231027,5.62,5.7,5.61,5.62,304400
ACP-A,D,20231027,21.51,21.51,21.51,21.51,200
ACR,D,20231027,7.35,7.4,7.3,7.38,1100
ACR-C,D,20231027,21.85,21.85,21.68,21.6865,3800
ACR-D,D,20231027,18.64,18.65,18.25,18.64,3000
ACRE,D,20231027,9.08,9.13,8.76,8.89,411500
ACRO,D,20231027,10.32,10.32,10.32,10.32,100
ACV,D,20231027,16.9,16.96,16.82,16.95,36100
ADC,D,20231027,54.58,54.61,53.89,54.32,796800
ADC-A,D,20231027,16.1,16.27,16.03,16.1,13500
ADCT,D,20231027,0.64,0.7426,0.6307,0.7,316700
ADM,D,20231027,71.61,71.84,69.69,70.04,2915400
ADNT,D,20231027,34.36,34.36,33.27,33.61,751300
ADT,D,20231027,5.84,5.885,5.67,5.69,2077600
