<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20230818,1.31,1.31,1.22,1.25,8700
AACIW,D,20230818,0.09,0.0913,0.075,0.075,1500
AADI,D,20230818,5.59,5.84,5.585,5.83,57400
AADR,D,20230818,50.1499,50.3699,50.04,50.3146,1500
AAL,D,20230818,14.83,15.145,14.8,15.04,20819500
AAME,D,20230818,1.72,1.98,1.72,1.8,3100
AAOI,D,20230818,12.59,13.24,11.85,12.8,2924700
AAON,D,20230818,60.3,62.07,60,61.75,416300
AAPB,D,20230818,23.4,24.13,23.4,24.04,17500
AAPD,D,20230818,22.72,22.72,22.32,22.4,240200
AAPL,D,20230818,172.3,175.1,171.96,174.49,61172100
AAPU,D,20230818,24.1,24.74,24.1,24.62,142400
AAXJ,D,20230818,63.91,64.2,63.7,64.07,1447700
ABCB,D,20230818,40.76,41.53,40.13,41.13,208800
ABCL,D,20230818,5.42,5.595,5.41,5.49,1487000
ABCM,D,20230818,21.51,21.8298,21.465,21.75,917800
ABEO,D,20230818,3.62,4.1,3.54,3.79,340300
ABIO,D,20230818,2.01,2.0652,2.01,2.0652,59500
ABL,D,20230818,7.5,7.65,7.11,7.59,14600
ABLLW,D,20230818,0.2871,0.3437,0.26,0.29,462700
ABLV,D,20230818,6.38,6.5,4.91,5.5,907900
ABLVW,D,20230818,0.091,0.091,0.0552,0.0798,1100
ABNB,D,20230818,124.93,126.08,123.38,125.06,5963600
ABOS,D,20230818,6.29,6.435,6.2087,6.29,340900
ABSI,D,20230818,1.64,1.73,1.57,1.68,264500
ABUS,D,20230818,2.05,2.12,2.04,2.06,508300
ABVC,D,20230818,1.66,1.92,1.62,1.87,153100
ACAB,D,20230818,10.64,10.64,10.64,10.64,200
ACAD,D,20230818,28.6,29.5,28.49,29.33,1187000
ACAHW,D,20230818,0.0101,0.0122,0.0066,0.0066,118000
ACB,D,20230818,0.5005,0.5173,0.5001,0.5102,4352800
ACBAW,D,20230818,0.0268,0.0268,0.0268,0.0268,100
ACCD,D,20230818,12.91,13.16,12.77,12.97,541900
ACDC,D,20230818,10.44,11.01,10.31,10.91,655600
ACDCW,D,20230818,0.005,0.005,0.005,0.005,2500
ACER,D,20230818,0.81,0.81,0.72,0.727,94100
ACET,D,20230818,1.95,2.0079,1.87,1.87,886200
ACGL,D,20230818,73.85,75.85,73.5,75.24,2469300
ACGLN,D,20230818,18.39,18.55,18.07,18.09,27200
ACGLO,D,20230818,22.03,22.19,21.78,21.8,16600
ACGN,D,20230818,0.4366,0.47,0.3601,0.441,102400
ACHC,D,20230818,74.5,75.42,74.5,75.05,363500
