<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20240208,1.17,1.18,1.1499,1.18,15100
AACI,D,20240208,11,11,10.94,10.94,31300
AACIW,D,20240208,0.025,0.0251,0.025,0.025,3900
AADI,D,20240208,1.74,1.78,1.7,1.77,198600
AADR,D,20240208,55.31,56.342,55.31,56.1,1400
AAGR,D,20240208,0.94,0.97,0.9,0.92,44300
AAGRW,D,20240208,0.02,0.0295,0.02,0.0232,18000
AAL,D,20240208,14.98,14.99,14.605,14.95,28024300
AAME,D,20240208,2.36,2.52,2.31,2.51,7600
AAOI,D,20240208,18.94,20.06,18.7,18.89,3370500
AAON,D,20240208,76,79.66,75.87,78.67,793300
AAPB,D,20240208,21.84,21.87,21.45,21.64,31500
AAPD,D,20240208,20.58,20.81,20.58,20.72,120000
AAPL,D,20240208,189.38,189.535,187.35,188.32,40962000
AAPU,D,20240208,26.51,26.51,26.0901,26.24,118300
AAXJ,D,20240208,64.8,64.92,64.62,64.8,673700
ABAT,D,20240208,2.51,2.51,2.3,2.36,711400
ABCB,D,20240208,46.88,47.745,46.71,47.32,343500
ABCL,D,20240208,4.91,5.08,4.8611,5.02,899900
ABCS,D,20240208,24.95,25.0697,24.95,25.0697,200
ABEO,D,20240208,5.01,5.45,4.9692,5.28,377200
ABIO,D,20240208,1.63,1.69,1.625,1.65,51000
ABL,D,20240208,12.41,12.51,10.2,12.35,55700
ABLLL,D,20240208,25.465,25.55,25.465,25.548,4000
ABLLW,D,20240208,0.93,0.93,0.7,0.79,204900
ABLV,D,20240208,2.86,2.92,2.76,2.8,57800
ABNB,D,20240208,149.25,150.67,148.06,150.54,3508200
ABOS,D,20240208,3.12,3.185,3,3.02,384300
ABSI,D,20240208,3.97,4.14,3.81,4.11,789200
ABTS,D,20240208,0.99,0.99,0.95,0.9701,58400
ABUS,D,20240208,2.56,2.65,2.3417,2.54,4342600
ABVC,D,20240208,1.39,1.44,1.275,1.3,311600
ABVX,D,20240208,12.21,13,12.09,12.77,57300
ACAC,D,20240208,11.11,11.1101,11.11,11.11,8100
ACAD,D,20240208,25.32,25.7982,24.94,25.68,1020200
ACAH,D,20240208,10.6728,10.6728,10.6728,10.6728,200
ACB,D,20240208,0.41,0.4122,0.37,0.408,8565500
ACCD,D,20240208,12.99,13.36,12.93,13.31,377500
ACDC,D,20240208,6.95,7.405,6.91,7.33,684600
ACET,D,20240208,3.18,3.4,3.125,3.38,1659200
ACGL,D,20240208,83.97,84.2399,80.97,82.76,1897700
ACGLN,D,20240208,20.39,20.51,20.29,20.49,21800
ACGLO,D,20240208,23.46,23.6699,23.3345,23.56,11900
ACHC,D,20240208,79.11,81.02,79.025,80.23,367400
ACHL,D,20240208,0.91,0.95,0.88,0.94,567400
ACHV,D,20240208,4.45,4.5487,4.3301,4.37,13000
ACIC,D,20240208,11.02,11.5,10.92,11.4,289000
ACIU,D,20240208,2.7,2.8897,2.67,2.83,217500
ACIW,D,20240208,28.95,29.76,28.93,29.73,993700
ACLS,D,20240208,117.45,124.91,110,122.25,2533800
ACLX,D,20240208,63.83,64.84,61.12,61.56,434500
ACMR,D,20240208,16.42,17.47,16.34,16.97,1079300
ACNB,D,20240208,36.15,36.3,35.88,36.06,12800
ACNT,D,20240208,10.14,10.14,9.66,9.66,2900
ACON,D,20240208,2,2.02,1.84,1.92,100100
ACONW,D,20240208,0.0421,0.0498,0.0421,0.0497,3300
ACRS,D,20240208,1.08,1.2,1.06,1.18,1120000
ACRV,D,20240208,3.86,3.86,3.36,3.54,288800
ACST,D,20240208,2.38,2.4773,2.38,2.45,6000
ACT,D,20240208,26.37,26.8,26.13,26.79,500400
ACTG,D,20240208,4.25,4.3,4.15,4.26,422600
ACVA,D,20240208,14.32,14.66,14.22,14.39,610800
ACWI,D,20240208,104.43,104.51,104.21,104.45,4335400
ACWX,D,20240208,50.49,50.55,50.36,50.48,906000
ACXP,D,20240208,3.08,3.14,3.01,3.07,67400
ADAG,D,20240208,3.28,3.59,3.1501,3.5,43100
ADAP,D,20240208,1.27,1.27,1.12,1.15,1580900
ADBE,D,20240208,615.85,621.34,612.51,615.86,1815600
ADD,D,20240208,0.292,0.3,0.2606,0.2784,142400
ADEA,D,20240208,12.86,13.1,12.68,12.95,500500
ADI,D,20240208,192.97,195.17,191.905,194.06,2594500
ADIL,D,20240208,1.21,1.24,1.133,1.1779,12700
ADMA,D,20240208,5.17,5.195,5.105,5.17,1011300
ADN,D,20240208,0.17,0.1701,0.1622,0.1653,425700
ADNWW,D,20240208,0.0214,0.024,0.0214,0.024,7200
ADOC,D,20240208,11.9,11.9,11.78,11.7801,9200
ADOCR,D,20240208,0.14,0.23,0.14,0.205,1372200
ADOCW,D,20240208,0.022,0.045,0.022,0.0389,235000
ADP,D,20240208,249.99,251.19,248.395,251.08,1330800
ADPT,D,20240208,3.58,3.71,3.495,3.67,1245900
ADSE,D,20240208,8,8.96,7.99,8.93,89000
ADSEW,D,20240208,0.9,1.03,0.89,0.9395,14900
ADSK,D,20240208,258.08,262.9175,258.02,261.51,771100
