<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
A,D,20231101,102.5,103.21,100.26,102.86,2282974
AA,D,20231101,25.67,25.78,24.27,25.03,6102485
AAC,D,20231101,10.76,10.78,10.76,10.78,65840
AAC.T,D,20231101,0.2,0.25,0.18,0.2098,25728
AAC.U,D,20231101,10.71,10.77,10.71,10.72,6142
AACT,D,20231101,10.29,10.33,10.29,10.3,370667
AAI-B,D,20231101,19.29,19.29,19.29,19.29,300
AAI-C,D,20231101,23.6,23.73,23.57,23.7,6182
AAIC,D,20231101,4.14,4.25,4.14,4.23,35145
AAIN,D,20231101,23,23.34,23,23.2,2120
AAN,D,20231101,7.35,7.38,7.13,7.14,353203
AAP,D,20231101,52.23,52.23,50.95,51.55,1234952
AAT,D,20231101,17.73,18.01,17.57,17.97,431831
AB,D,20231101,28.78,28.96,28.22,28.39,407469
ABBV,D,20231101,141.86,143.71,141.75,142.47,4113807
ABEV,D,20231101,2.53,2.59,2.52,2.58,17250725
ABG,D,20231101,189.32,196.88,186.29,196.34,193171
ABM,D,20231101,39.38,39.56,38.48,39.36,469827
ABR,D,20231101,12.65,12.68,12.14,12.4,6225550
ABR-D,D,20231101,16.07,16.4,15.9,15.92,68267
ABR-E,D,20231101,16.12,16.44,16,16,15393
ABR-F,D,20231101,17.47,17.71,17.3,17.3,10585
ABT,D,20231101,94.85,95.99,94.56,95.01,6976028
AC,D,20231101,33.89,34.05,33.45,34.05,7219
ACA,D,20231101,68.73,69.69,68.14,69.56,157474
ACCO,D,20231101,5.04,5.09,4.96,5.08,426894
ACEL,D,20231101,9.85,9.99,9.79,9.88,220242
ACH.W,D,20231101,0.95,1.05,0.95,1.02,3838
ACHR,D,20231101,4.71,4.84,4.58,4.71,2662986
ACI,D,20231101,21.75,21.83,21.63,21.76,2716342
ACM,D,20231101,76.58,77.04,75.19,76.17,636771
ACN,D,20231101,298.17,302.18,298.17,300.64,1967813
ACP,D,20231101,5.76,5.89,5.76,5.89,498393
ACP-A,D,20231101,21.08,21.08,21.08,21.08,210
ACR,D,20231101,7.25,7.5,7.25,7.4,3297
ACR-C,D,20231101,22.23,22.54,21.84,22.49,7522
ACR-D,D,20231101,19.23,19.5,18.93,19.3,5659
ACR.W,D,20231101,0.04,0.04,0.0373,0.0382,3175
ACRE,D,20231101,9.13,9.24,9.03,9.2,355641
ACRO,D,20231101,10.3,10.3,10.3,10.3,978
ACV,D,20231101,17.6,18.16,17.43,18.16,58822
ADC,D,20231101,55.86,57.29,55.62,57.22,1012445
ADC-A,D,20231101,16.18,16.52,16,16.34,25257
ADCT,D,20231101,0.74,0.74,0.66,0.67,143824
ADM,D,20231101,71.85,72.24,71.22,71.37,2513599
ADNT,D,20231101,33.75,33.75,32.77,33.58,737282
ADT,D,20231101,5.69,5.72,5.53,5.58,2656514
ADX,D,20231101,16.2,16.44,16.2,16.44,94278
AEE,D,20231101,75.87,77.43,75.05,76.84,1576388
AEFC,D,20231101,18.72,19.07,18.72,18.92,55910
AEG,D,20231101,4.83,4.87,4.79,4.85,1364365
AEL,D,20231101,52.88,53.09,52.86,53.06,662163
AEL-A,D,20231101,21.15,21.26,21.08,21.13,48804
AEL-B,D,20231101,22.98,23.38,22.71,23.01,10027
AEM,D,20231101,47.15,47.56,46.42,47.01,2559802
AENZ,D,20231101,2.08,2.25,1.76,2.25,24667
AEO,D,20231101,17.48,17.77,17.07,17.63,2610863
AER,D,20231101,61.86,62.57,61.33,62.37,1331042
AES,D,20231101,14.93,14.95,14.7,14.85,13587802
AESC,D,20231101,59.9,60.92,59.9,60.18,1326222
