<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
A,D,20230810,128,129.99,127.31,127.65,1515800
AA,D,20230810,33.97,34,32.55,32.88,4810800
AAC,D,20230810,10.65,10.65,10.63,10.65,19000
AAC.W,D,20230810,0.88,0.88,0.85,0.85,8400
AACT,D,20230810,10.21,10.21,10.19,10.2,33200
AAI-C,D,20230810,23.5,23.5,23.4,23.5,1300
AAIC,D,20230810,4.52,4.55,4.48,4.51,48200
AAM-A,D,20230810,24.05,24.4603,24.05,24.21,8200
AAM-B,D,20230810,24.2,24.945,24.2,24.25,7700
AAN,D,20230810,13.66,13.93,13.1,13.21,261000
AAP,D,20230810,71.56,73.0599,71.06,71.53,1750700
AAT,D,20230810,22.41,22.665,22.07,22.19,302500
AB,D,20230810,29.85,30.11,29.4,29.41,394900
ABBV,D,20230810,151.2,152.84,150.57,151.44,3275800
ABC,D,20230810,185.41,188.83,185.015,187.03,4037300
ABEV,D,20230810,2.95,2.98,2.91,2.92,6822300
ABG,D,20230810,224.4,226.63,219.89,221.45,138400
ABM,D,20230810,46.66,46.95,45.675,46.1,310400
ABR,D,20230810,16.67,16.765,16.36,16.59,2095900
ABR-D,D,20230810,18.7,19.15,18.7,18.8,6100
ABR-E,D,20230810,18.65,18.8,18.6031,18.7984,1500
ABR-F,D,20230810,20.4,20.5,20.35,20.36,3500
ABT,D,20230810,105.48,107,104.62,104.74,4708200
AC,D,20230810,36.7,37.4,36.575,36.61,10200
ACA,D,20230810,76.89,77.705,76.46,77.4,196200
ACCO,D,20230810,5.77,5.88,5.65,5.66,379300
ACEL,D,20230810,11.44,11.47,11.33,11.34,178500
ACH.W,D,20230810,1.5,1.65,1.39,1.46,64400
ACHR,D,20230810,5.8,6.005,5.66,5.83,10622500
ACI,D,20230810,21.74,21.84,21.71,21.79,970600
ACM,D,20230810,85.59,87.614,85.5,87.38,782100
ACN,D,20230810,311.5,314.82,308.87,310.41,1862300
ACP,D,20230810,6.91,6.93,6.9073,6.92,267300
ACP-A,D,20230810,23.7308,23.7308,23.7308,23.7308,700
ACR,D,20230810,8.92,8.94,8.81,8.81,2700
ACR-C,D,20230810,22.5,22.85,22.5,22.6394,9100
ACR-D,D,20230810,20.87,20.9899,20.54,20.565,6200
ACR.W,D,20230810,0.1486,0.1486,0.13,0.13,10400
ACRE,D,20230810,10.55,10.6201,10.375,10.44,357700
ACRO,D,20230810,10.16,10.17,10.16,10.17,10200
ACV,D,20230810,20.23,20.24,19.91,19.94,20600
ADC,D,20230810,64.15,64.45,63.53,63.58,554500
ADC-A,D,20230810,17.74,17.75,17.522,17.5222,37600
ADCT,D,20230810,1.56,1.6499,1.54,1.61,487600
ADM,D,20230810,85.97,86.885,85.4662,85.9,2023100
ADNT,D,20230810,44.05,44.39,41.93,42.13,1127500
ADT,D,20230810,6.55,6.8,6.51,6.71,2856300
ADX,D,20230810,17.46,17.55,17.41,17.41,149600
AEE,D,20230810,81.22,81.66,80.28,80.47,825300
AEFC,D,20230810,21.27,21.425,21.1962,21.28,28300
AEG,D,20230810,5.48,5.53,5.46,5.47,1391700
AEL,D,20230810,53.39,53.535,53.21,53.33,501600
AEL-A,D,20230810,20.67,20.88,20.61,20.62,15800
AEL-B,D,20230810,23.02,23.13,22.78,23.0693,11900
AEM,D,20230810,48.95,49.2,48.19,48.41,1558000
AENZ,D,20230810,1.77,1.77,1.74,1.74,500
AEO,D,20230810,15.53,15.82,15.46,15.67,3224500
AER,D,20230810,63.42,64.2,62.94,63.12,441900
AES,D,20230810,19.75,20.005,19.47,19.61,4916100
AESC,D,20230810,79.01,80.03,78.63,78.75,88600
AESI,D,20230810,20.29,20.66,20.17,20.24,304300
AEV.W,D,20230810,0.0753,0.0898,0.0753,0.0898,7600
AEVA,D,20230810,1.04,1.08,1.01,1.05,911500
AFB,D,20230810,10.37,10.44,10.34,10.35,40600
AFG,D,20230810,113.02,113.39,111.79,112.19,387000
AFGB,D,20230810,23.74,23.98,23.43,23.59,3300
AFGC,D,20230810,20.5,20.8,20.5,20.66,31100
AFGD,D,20230810,22.53,22.53,22.2819,22.32,1800
AFGE,D,20230810,17.77,17.77,17.6201,17.7,3300
AFL,D,20230810,76.08,76.79,75.4675,75.71,1850000
AFT,D,20230810,13.28,13.33,13.16,13.2,45200
AFTR,D,20230810,10.41,10.43,10.41,10.4115,3400
AG,D,20230810,6.08,6.1309,5.92,6.09,4671400
AGCO,D,20230810,129.5,131.3,128.79,128.94,433500
AGD,D,20230810,9.5,9.6,9.46,9.46,43200
AGI,D,20230810,11.71,11.85,11.555,11.61,2032100
AGL,D,20230810,19.47,19.68,19.11,19.12,1550600
AGM,D,20230810,175.17,178.03,174.81,177.51,45900
AGM-C,D,20230810,25.3044,25.3399,25.3044,25.3399,500
AGM-D,D,20230810,23.1,23.1,22.78,22.78,5100
AGM-E,D,20230810,23.06,23.0999,22.69,22.69,2300
AGM-F,D,20230810,20.88,20.88,20.6501,20.83,2500
AGM-G,D,20230810,19.32,19.39,19.2,19.32,9200
AGO,D,20230810,60.94,61.965,60.3,60.31,241400
AGR,D,20230810,35.2,35.47,34.75,34.78,1301800
AGRO,D,20230810,10.25,10.42,10.09,10.21,624900
AGS,D,20230810,7.69,7.74,7.26,7.4,373600
AGTI,D,20230810,11.9,12.69,10.76,12.25,490800
AGX,D,20230810,39.87,40.27,39.87,40.1,29100
AHH,D,20230810,12.06,12.205,11.93,11.95,134300
AHH-A,D,20230810,22.93,22.93,22.79,22.86,1300
AHL-C,D,20230810,25.39,25.4399,25.2663,25.3,13100
AHL-D,D,20230810,18.65,18.86,18.61,18.6153,10000
AHL-E,D,20230810,18.04,18.2578,18.0163,18.0163,3700
AHT,D,20230810,3.02,3.125,2.95,2.97,714500
AHT-D,D,20230810,15.63,15.63,14.43,14.43,1300
AHT-F,D,20230810,13.68,13.68,13.1263,13.41,2200
AHT-G,D,20230810,12.9,13.51,12.87,12.93,9900
AHT-H,D,20230810,13.1,13.2,12.99,12.99,3200
AHT-I,D,20230810,13.48,14.81,13.02,13.02,7600
AI,D,20230810,33.4,34.53,32.71,33.12,12060400
AIC,D,20230810,24.5395,24.625,24.5395,24.625,600
AIF,D,20230810,12.99,13.03,12.97,13,57700
AIG,D,20230810,60.7,61.4,60.26,60.42,1895700
AIG-A,D,20230810,23.97,24.3096,23.959,24.13,18300
AIN,D,20230810,91.49,92.2,90.26,90.85,93800
AIO,D,20230810,18.12,18.2199,18.0201,18.09,75100
AIR,D,20230810,60.11,60.445,58.905,59.51,195000
AIRC,D,20230810,34.56,35,34.43,34.52,948200
AIT,D,20230810,148.86,156.53,148.86,151.52,379700
AIU,D,20230810,1.02,1.05,0.9903,1.03,17500
AIV,D,20230810,8.2,8.39,8.14,8.33,1185400
AIZ,D,20230810,141.27,142.34,140.03,141.09,239000
AIZN,D,20230810,19.1,19.19,18.9413,19.19,14100
AJG,D,20230810,224,226.58,221.96,222.65,733700
AJX,D,20230810,6.82,6.8694,6.74,6.78,122500
AJXA,D,20230810,24.63,24.64,24.62,24.62,2500
AKA,D,20230810,0.42,0.489,0.417,0.4375,668700
AKO.A,D,20230810,12.75,12.88,12.7,12.85,2800
AKO.B,D,20230810,16.15,16.42,15.82,15.82,12400
AKR,D,20230810,15.87,15.99,15.58,15.68,1029700
AL,D,20230810,41.44,41.8,40.97,41.22,477900
AL-A,D,20230810,23.5536,23.6399,23.4754,23.6199,7500
ALB,D,20230810,195.55,195.82,191.16,191.67,1954400
ALC,D,20230810,83.09,83.18,81.38,81.46,954200
ALCC,D,20230810,10.33,10.345,10.33,10.34,431700
ALE,D,20230810,57.42,57.705,56.83,57.12,329500
ALEX,D,20230810,18.46,18.6,18.2,18.22,160200
ALG,D,20230810,178.85,179.6917,175.5,176.81,26600
ALIT,D,20230810,8.77,8.77,8.5,8.5,2468200
ALK,D,20230810,46.93,47.06,46.11,46.71,1488400
ALL,D,20230810,110.39,112.357,110.39,110.69,1002000
ALL-B,D,20230810,25.3,25.37,25.27,25.32,16800
ALL-H,D,20230810,20.98,21.16,20.9,21.02,53200
ALL-I,D,20230810,19.75,19.87,19.56,19.68,20200
ALL-J,D,20230810,26.81,26.95,26.8063,26.9,44300
ALL.W,D,20230810,0.2325,0.2375,0.22,0.2375,1500
ALLE,D,20230810,111.1,111.77,109.93,111.28,772000
ALLG,D,20230810,2.34,2.54,2.33,2.47,42700
ALLY,D,20230810,29.22,29.505,28.565,28.73,3353600
ALSN,D,20230810,58.82,59.28,58.24,58.73,401000
ALT-A,D,20230810,26.07,26.07,25.9,25.9,5900
ALTG,D,20230810,15.26,16.2,13.59,15,782500
ALU.W,D,20230810,0.99,1.06,0.95,1.02,6200
ALUR,D,20230810,5.6,5.7017,5.1,5.19,76400
ALV,D,20230810,98.77,98.875,96.43,96.72,749900
ALX,D,20230810,195.01,197.85,192.865,193.33,21600
AM,D,20230810,11.95,12.025,11.85,11.92,1369500
AMBC,D,20230810,14.07,14.3567,13.83,13.84,308800
AMBP,D,20230810,3.5,3.55,3.48,3.54,695600
AMC,D,20230810,4.95,5.1,4.9,4.98,13923300
AMCR,D,20230810,9.73,9.82,9.69,9.72,7230000
AME,D,20230810,159.63,161.01,158.48,158.92,721300
AMG,D,20230810,136.06,136.745,133.62,134.06,387300
AMH,D,20230810,36.45,36.75,35.85,35.95,1995100
AMH-G,D,20230810,22.36,22.5489,22.2614,22.33,26400
AMH-H,D,20230810,23.3126,23.395,23.21,23.345,7600
AMK,D,20230810,28.48,28.7,28.09,28.18,68800
AMN,D,20230810,91.58,92.53,90,90.56,818900
AMP,D,20230810,345.02,348.38,341.81,342.79,414000
AMP.V,D,20230810,0.45,0.45,0.37,0.38,108300
AMPS,D,20230810,6.19,6.24,6.07,6.1,771900
AMPX,D,20230810,6.88,6.88,6.55,6.63,164200
AMPY,D,20230810,7.27,7.3722,7.135,7.17,971800
AMR,D,20230810,184.43,186.16,180.71,182.72,313700
AMRC,D,20230810,50.85,51.94,49.655,50.12,225300
AMRX,D,20230810,4.21,4.35,4.155,4.23,1141100
AMT,D,20230810,187.17,189.325,186.5,186.94,1618300
AMTD,D,20230810,1.53,1.54,1.5,1.53,46000
AMWL,D,20230810,1.77,1.77,1.655,1.67,1628200
AMX,D,20230810,20.63,20.64,20.1,20.15,1697700
AN,D,20230810,154.41,155.32,152.26,154.25,512700
ANET,D,20230810,178.93,180.6299,175.42,176.3,1272100
ANF,D,20230810,40.03,40.85,39.61,40.29,1291500
ANVS,D,20230810,13.15,13.36,13,13.16,15000
AOD,D,20230810,8.17,8.21,8.12,8.14,193300
AOMR,D,20230810,9.47,9.67,9.445,9.58,45900
AON,D,20230810,318.3,320.5,315.17,317.01,633800
AORT,D,20230810,16.56,16.82,16.33,16.58,143800
AOS,D,20230810,72.68,73.19,71.68,71.99,664500
AP,D,20230810,3.74,3.74,3.07,3.18,44600
APAM,D,20230810,38.56,38.92,38.02,38.16,505400
APCA,D,20230810,10.86,10.86,10.85,10.86,12700
