<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20231109,0.8798,0.8991,0.85,0.85,10700
AACI,D,20231109,10.75,10.75,10.75,10.75,2000
AACIW,D,20231109,0.0633,0.0633,0.0633,0.0633,300
AADI,D,20231109,4.65,4.6699,4.4,4.5,164300
AADR,D,20231109,49.4801,49.4801,48.95,48.95,700
AAL,D,20231109,12.16,12.235,11.6736,11.75,37774400
AAME,D,20231109,1.71,1.73,1.51,1.54,16600
AAOI,D,20231109,10.07,10.17,9.645,9.76,2102000
AAON,D,20231109,59.1,59.37,57.195,57.45,386300
AAPB,D,20231109,25.31,25.44,25.04,25.2,13000
AAPD,D,20231109,21.35,21.48,21.2213,21.4,315800
AAPL,D,20231109,182.96,184.12,181.81,182.41,53763500
AAPU,D,20231109,25.82,26.04,25.5703,25.68,105300
AAXJ,D,20231109,64.08,64.29,63.48,63.53,421900
ABAT,D,20231109,4.48,4.69,4.36,4.39,180600
ABCB,D,20231109,40.12,40.185,38.95,39.23,391500
ABCL,D,20231109,4.21,4.27,4.04,4.04,1313700
ABCM,D,20231109,23.1,23.3,23.05,23.07,8869200
ABEO,D,20231109,4.26,4.36,3.93,3.94,76100
ABIO,D,20231109,1.83,1.83,1.8,1.83,27200
ABL,D,20231109,7.2,7.5882,6.55,6.9799,35500
ABLLW,D,20231109,0.3195,0.3469,0.2801,0.3301,189900
ABLV,D,20231109,1.8,1.85,1.72,1.72,13300
ABNB,D,20231109,118.35,119.53,115.2,115.52,5519600
ABOS,D,20231109,2.05,2.05,1.8298,1.86,641600
ABSI,D,20231109,1.42,1.42,1.2401,1.27,230200
ABUS,D,20231109,1.82,1.84,1.765,1.8,1085900
ABVC,D,20231109,1.17,1.17,1.06,1.08,429000
ABVX,D,20231109,10.93,10.99,9.5384,10.1,490900
ACAB,D,20231109,10.54,10.59,10.54,10.59,800
ACABW,D,20231109,0.0524,0.0524,0.05,0.05,9800
ACAD,D,20231109,23.27,23.315,21.83,22.01,1625200
ACAH,D,20231109,10.55,11.045,10.52,10.52,6800
ACAHW,D,20231109,0.0283,0.0283,0.0283,0.0283,1500
ACB,D,20231109,0.464,0.475,0.4328,0.445,8033500
ACCD,D,20231109,7.29,7.29,6.9,6.96,620100
ACDC,D,20231109,8.14,9.01,7.81,7.95,1302200
ACET,D,20231109,1.3,1.315,1.24,1.25,367900
ACGL,D,20231109,84.15,85.22,83.96,84.67,2357500
ACGLN,D,20231109,18.49,18.49,18.25,18.25,38200
ACGLO,D,20231109,21.53,21.65,21.19,21.19,11500
ACHC,D,20231109,73.95,74.025,72.15,72.23,274100
ACHL,D,20231109,0.8699,0.87,0.811,0.835,66700
ACHV,D,20231109,4.29,4.2991,4.05,4.19,29500
ACIC,D,20231109,7.5,7.67,7.33,7.41,883400
ACIU,D,20231109,2.96,3,2.9046,2.98,34500
ACIW,D,20231109,25.5,26.67,25.47,26.04,3241800
ACLS,D,20231109,131.21,131.91,124.23,124.61,702200
ACLX,D,20231109,46.98,47.32,44.12,44.46,679000
ACMR,D,20231109,17.8,17.83,16.3021,16.31,1721000
ACNB,D,20231109,34.54,34.71,34.5,34.65,5200
ACNT,D,20231109,7.95,8.4,7.95,8.39,10200
ACON,D,20231109,0.355,0.355,0.3164,0.35,4200
ACOR,D,20231109,9.68,9.72,9.68,9.72,1200
ACRS,D,20231109,5.55,5.608,4.91,4.92,948000
ACRV,D,20231109,5.46,5.46,4.54,4.59,16600
ACRX,D,20231109,0.5355,0.5355,0.46,0.47,285300
ACST,D,20231109,2.42,2.45,2.26,2.27,13000
ACT,D,20231109,27.98,28.2,27.42,27.52,345700
ACTG,D,20231109,3.67,3.69,3.58,3.61,120700
ACVA,D,20231109,14.28,14.3482,13.95,14,626900
ACWI,D,20231109,94.14,94.22,93.17,93.24,12563800
ACWX,D,20231109,47.47,47.6,47.02,47.04,3609200
ACXP,D,20231109,3.89,3.89,3.7,3.75,103700
ADAG,D,20231109,1.3206,1.36,1.3206,1.36,800
ADAP,D,20231109,0.5505,0.5763,0.51,0.547,423500
