<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20240206,1.08,1.1,1.08,1.1,10200
AACI,D,20240206,10.93,10.95,10.93,10.94,28700
AADI,D,20240206,1.72,1.78,1.69,1.77,149000
AADR,D,20240206,56.27,56.62,56.2,56.62,600
AAGR,D,20240206,0.98,1.03,0.8555,0.92,179000
AAGRW,D,20240206,0.0216,0.033,0.02,0.0299,101200
AAL,D,20240206,14.24,14.95,14.2,14.9,33592400
AAME,D,20240206,2.62,2.62,2.02,2.43,30100
AAOI,D,20240206,20.16,20.64,18.86,19.36,3801400
AAON,D,20240206,71.64,72.935,71.14,72.07,230700
AAPB,D,20240206,21.48,21.84,21.435,21.84,72500
AAPD,D,20240206,20.84,20.84,20.6,20.6,216000
AAPL,D,20240206,186.86,189.31,186.7695,189.3,43490700
AAPU,D,20240206,25.98,26.47,25.98,26.46,126600
AAXJ,D,20240206,64.57,65.15,64.52,65.14,553700
ABAT,D,20240206,2.54,2.73,2.5,2.72,495500
ABCB,D,20240206,48.19,48.525,46.62,46.95,726500
ABCL,D,20240206,4.93,5.18,4.87,5.18,1189700
ABCS,D,20240206,24.94,24.94,24.9276,24.9276,900
ABEO,D,20240206,4.25,4.41,4.25,4.3,126600
ABIO,D,20240206,1.6098,1.6098,1.58,1.59,30200
ABL,D,20240206,12.4,12.45,12.32,12.45,24000
ABLLL,D,20240206,25.52,25.52,25.52,25.52,500
ABLLW,D,20240206,0.8996,0.9,0.87,0.8997,13900
ABLV,D,20240206,2.73,3,2.73,2.9402,223100
ABNB,D,20240206,145.1,145.13,142.9517,144.53,3697500
ABOS,D,20240206,3.06,3.27,3.04,3.19,250600
ABSI,D,20240206,4.08,4.39,4.0484,4.34,1093900
ABTS,D,20240206,0.9401,1.0116,0.9401,0.96,6900
ABUS,D,20240206,2.36,2.47,2.35,2.47,709300
ABVC,D,20240206,1.42,1.4461,1.35,1.39,111200
ABVX,D,20240206,12.15,12.67,12.05,12.5,19900
ACAC,D,20240206,11.11,11.115,11.11,11.115,1100
ACAD,D,20240206,25.01,25.905,24.856,25.74,1601900
ACAH,D,20240206,10.6,10.6,10.6,10.6,200
ACB,D,20240206,0.3901,0.4045,0.3802,0.4,5697500
ACCD,D,20240206,11.89,13,11.8,12.98,844500
ACDC,D,20240206,6.89,7.31,6.85,7.18,700600
ACET,D,20240206,3.23,3.62,3.1,3.19,2214100
ACGL,D,20240206,83.98,84.15,83.17,83.3,1307100
ACGLN,D,20240206,20.28,20.35,20.1401,20.23,28100
ACGLO,D,20240206,23.16,23.4199,23.07,23.359,10100
ACHC,D,20240206,79.07,79.87,79.07,79.83,267900
ACHL,D,20240206,0.9801,1.01,0.895,0.9177,1243100
ACHV,D,20240206,4.77,4.77,4.4,4.5,51600
ACIC,D,20240206,11.3,11.45,10.97,11.26,315500
ACIU,D,20240206,2.79,2.9,2.7,2.72,130800
ACIW,D,20240206,28.98,29.2575,28.87,29.21,548200
ACLS,D,20240206,129.55,131.21,128,129.82,718300
ACLX,D,20240206,67.25,67.52,64.15,65.89,495600
ACMR,D,20240206,16.33,16.8,16.25,16.48,1273400
ACNB,D,20240206,36.59,36.6,35.27,36.31,20100
ACNT,D,20240206,9.66,9.97,9.66,9.97,800
ACON,D,20240206,2.25,2.2999,1.92,2.02,306300
ACONW,D,20240206,0.043,0.0431,0.043,0.0431,400
ACOR,D,20240206,14.81,15.31,14.81,15.31,3100
ACRS,D,20240206,1.15,1.19,1.12,1.14,903000
ACRV,D,20240206,3.64,3.77,3.56,3.77,23100
ACST,D,20240206,2.29,2.3814,2.29,2.325,6000
ACT,D,20240206,27.64,27.94,27.56,27.8,295600
ACTG,D,20240206,3.8,3.905,3.78,3.88,191900
ACVA,D,20240206,13.8,14.235,13.77,14.14,1017400
ACWI,D,20240206,103.63,103.94,103.49,103.94,5034200
ACWX,D,20240206,50.34,50.65,50.25,50.62,631000
ACXP,D,20240206,3.1,3.2303,3.1,3.18,27200
ADAG,D,20240206,3.24,3.59,3.18,3.4,19300
ADAP,D,20240206,1.17,1.38,1.13,1.33,3010900
ADBE,D,20240206,625.58,626.46,604.67,607.14,3436200
ADD,D,20240206,0.31,0.31,0.291,0.2944,44900
