<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AGILW,20231013,0.0089,0.0089,0.0089,0.0089,300
AGIO,20231013,23.07,23.33,22.85,23.12,655700
AGLE,20231013,11.67,13,10.85,12.98,29600
AGNC,20231013,8.95,8.99,8.77,8.78,16208900
AGNCL,20231013,21.3,21.42,21.28,21.28,12600
AGNCM,20231013,23.0883,23.35,23.05,23.1001,6100
AGNCN,20231013,25.13,25.13,24.69,24.87,35000
AGNCO,20231013,22.88,22.94,22.72,22.81,8500
AGNCP,20231013,21.25,21.38,21.22,21.37,35700
AGNG,20231013,25.7469,25.79,25.6963,25.79,2500
AGRI,20231013,3.43,3.43,2.8703,2.97,303600
AGRIW,20231013,0.015,0.015,0.0126,0.0126,12900
AGRX,20231013,1.75,1.8625,1.75,1.78,19600
AGYS,20231013,68.4,68.4,66.08,66.47,47600
AGZD,20231013,22.17,22.22,22.11,22.12,44900
AHCO,20231013,7.52,7.635,7.31,7.44,1071300
AHG,20231013,1.7,1.83,1.55,1.75,73100
AHI,20231013,2.4,2.47,2.4,2.47,17400
AIA,20231013,56.27,56.62,55.9543,56.1,14300
AIB,20231013,11.27,11.29,11.25,11.29,6200
AIH,20231013,0.74,0.741,0.74,0.741,6800
AIHS,20231013,0.41,0.455,0.39,0.397,13400
AIMD,20231013,0.59,0.59,0.59,0.59,5600
AIP,20231013,5.9,6.03,5.76,5.96,539000
AIQ,20231013,27.55,27.55,27.0014,27.11,233400
AIRG,20231013,3.35,3.55,3.309,3.34,62100
AIRR,20231013,50.9,51.005,49.1625,49.34,87300
AIRS,20231013,6.15,6.3,6.035,6.255,58500
AIRT,20231013,21.51,21.85,21.51,21.52,9500
AIXI,20231013,1.98,2.04,1.98,2.04,20800
AKAM,20231013,107.65,108.16,105.87,106.61,1367600
AKAN,20231013,0.52,0.58,0.482,0.5596,263500
AKBA,20231013,0.92,0.92,0.8843,0.9073,1583000
AKLI,20231013,0.53,0.53,0.47,0.47,11100
AKRO,20231013,14.65,14.888,14.03,14.63,2138400
AKTS,20231013,0.79,0.79,0.73,0.7499,314400
AKTX,20231013,3.89,3.89,3.47,3.65,23200
AKU,20231013,0.1415,0.19,0.132,0.17,1222900
AKYA,20231013,3.46,3.605,3.4,3.575,94600
ALAR,20231013,4.228,4.228,3.87,3.88,11900
ALBT,20231013,0.785,0.8062,0.77,0.8,16500
ALCO,20231013,24.76,24.76,24.32,24.42,10600
ALCY,20231013,10.34,10.34,10.34,10.34,1000
ALDX,20231013,5.42,5.465,5.22,5.43,479800
