<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20231003,1.14,1.1445,1.12,1.13,4800
AADI,D,20231003,4.26,4.3496,3.96,4.02,171500
AADR,D,20231003,47.64,47.64,47.4,47.4,400
AAL,D,20231003,12.65,12.705,12.25,12.29,40692200
AAME,D,20231003,1.7801,1.875,1.7801,1.875,500
AAOI,D,20231003,11.06,11.32,9.95,10.32,2155800
AAON,D,20231003,56.47,56.94,55,55.45,192400
AAPB,D,20231003,23.2,23.3708,22.77,23.12,5500
AAPD,D,20231003,22.58,22.72,22.3898,22.54,287200
AAPL,D,20231003,172.255,173.63,170.82,172.4,49594600
AAPU,D,20231003,23.85,24.02,23.47,23.79,84100
AAXJ,D,20231003,62.57,62.84,62.36,62.49,2828900
ABAT,D,20231003,7.9,8.0504,7.4101,7.44,135300
ABCB,D,20231003,37.43,37.72,36.7383,36.98,258500
ABCL,D,20231003,4.44,4.5,4.34,4.38,1781700
ABCM,D,20231003,22.63,22.69,22.62,22.69,3018100
ABEO,D,20231003,4.02,4.3,3.9302,4.25,119900
ABIO,D,20231003,2.04,2.05,2.01,2.02,31700
ABL,D,20231003,6.825,6.93,6.825,6.93,500
ABLLW,D,20231003,0.35,0.3995,0.35,0.36,52700
ABLV,D,20231003,3.36,3.38,3.34,3.38,9000
ABNB,D,20231003,132.17,133.41,126.49,127.73,9019700
ABOS,D,20231003,4.13,4.215,4.03,4.2,351400
ABSI,D,20231003,1.27,1.445,1.25,1.41,686900
ABUS,D,20231003,1.92,1.93,1.87,1.88,446500
ABVC,D,20231003,0.93,0.98,0.86,0.935,40900
ACAB,D,20231003,10.55,10.55,10.55,10.55,100
ACAC,D,20231003,10.9367,10.9367,10.92,10.92,1600
ACACW,D,20231003,0.11,0.11,0.1,0.1038,900
ACAD,D,20231003,21.34,21.41,20.66,20.78,1318100
ACAHW,D,20231003,0.025,0.028,0.025,0.028,3900
ACAX,D,20231003,10.46,10.47,10.46,10.46,1100
ACAXR,D,20231003,0.2,0.2,0.2,0.2,1000
ACAXW,D,20231003,0.0352,0.0352,0.0305,0.0306,34100
ACB,D,20231003,0.5574,0.5574,0.521,0.5372,8659300
ACCD,D,20231003,10.3,10.37,9.98,10.11,465100
ACDC,D,20231003,10.2,10.3048,10.01,10.09,670000
ACDCW,D,20231003,0.0051,0.0052,0.0046,0.0046,15600
ACER,D,20231003,0.77,0.8,0.7501,0.794,60000
ACET,D,20231003,1.3,1.3408,1.28,1.3,226500
ACGL,D,20231003,79.26,79.49,77.18,77.96,1631800
ACGLN,D,20231003,17.62,17.62,16.49,17.15,45900
