<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20230925,1.13,1.1502,1.13,1.15,3300
AADI,D,20230925,4.97,5.05,4.9,5.01,79000
AADR,D,20230925,48.9599,48.9599,48.91,48.91,500
AAL,D,20230925,12.81,12.98,12.71,12.91,24618700
AAME,D,20230925,1.95,1.9703,1.94,1.94,900
AAOI,D,20230925,9.37,9.69,9.2403,9.39,994100
AAON,D,20230925,56.61,57.65,56.61,57.09,340100
AAPB,D,20230925,23.8,24.25,23.8,24.09,8200
AAPD,D,20230925,22.29,22.29,21.9533,22.04,119700
AAPL,D,20230925,174.2,176.97,174.15,176.08,46172700
AAPU,D,20230925,24.24,24.7799,24.24,24.61,82400
AAXJ,D,20230925,63.78,64.155,63.78,64.13,498900
ABAT,D,20230925,10.85,10.88,9.8,9.95,245700
ABCB,D,20230925,37.1,37.87,36.97,37.84,504900
ABCL,D,20230925,4.96,4.96,4.75,4.77,1493500
ABCM,D,20230925,22.56,22.75,22.51,22.71,2128300
ABEO,D,20230925,3.9,3.9,3.65,3.66,87100
ABIO,D,20230925,2.01,2.05,2.01,2.02,13100
ABL,D,20230925,6.82,7.34,6.51,6.51,20700
ABLLW,D,20230925,0.3,0.3,0.28,0.299,23500
ABLV,D,20230925,3.21,3.35,3.21,3.22,1300
ABNB,D,20230925,130.8,134.25,130.8,134.14,4154500
ABOS,D,20230925,4.42,4.45,4.11,4.24,307500
ABSI,D,20230925,1.45,1.48,1.35,1.35,431100
ABUS,D,20230925,1.93,1.93,1.87,1.9,731300
ABVC,D,20230925,0.88,1.03,0.88,0.94,42300
ACABW,D,20230925,0.0839,0.0839,0.07,0.07,3600
ACACU,D,20230925,11.4,11.4,11.4,11.4,100
ACAD,D,20230925,23.43,23.6021,23.08,23.29,1780600
ACAHW,D,20230925,0.0261,0.0287,0.0261,0.0278,1400
ACAX,D,20230925,10.62,10.63,10.48,10.49,2200
ACAXR,D,20230925,0.29,0.29,0.29,0.29,1100
