<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,D,20231016,1.1,1.15,1.1,1.1,1500
AACI,D,20231016,10.72,10.72,10.72,10.72,100
AADI,D,20231016,4.22,4.39,4.18,4.22,81600
AADR,D,20231016,49.68,49.69,49.68,49.69,600
AAL,D,20231016,11.82,12.05,11.72,11.94,35242500
AAME,D,20231016,1.91,1.99,1.8,1.82,6800
AAOI,D,20231016,7.6,7.95,7.55,7.65,989200
AAON,D,20231016,57.22,57.96,56.25,57.63,204100
AAPB,D,20231016,24.05,24.5488,24.02,24.48,11600
AAPD,D,20231016,22.05,22.05,21.75,21.81,90100
AAPL,D,20231016,176.75,179.075,176.51,178.72,52516900
AAPU,D,20231016,24.69,25.1,24.62,25.02,134800
AAXJ,D,20231016,63.6,64.2,63.478,64.08,290700
ABAT,D,20231016,7.66,7.885,7.57,7.64,200600
ABCB,D,20231016,38.3,38.82,38.12,38.49,225700
ABCL,D,20231016,4.23,4.33,4.2,4.28,1132500
ABCM,D,20231016,22.66,22.96,22.66,22.96,2996800
ABEO,D,20231016,4.14,4.35,4.14,4.26,31500
ABIO,D,20231016,2.04,2.0401,2.01,2.02,14300
ABL,D,20231016,6.32,6.64,6.32,6.4,3300
ABLLW,D,20231016,0.34,0.34,0.32,0.34,6500
ABLV,D,20231016,3.12,3.12,2.98,2.98,6700
ABLVW,D,20231016,0.0374,0.0374,0.0374,0.0374,100
ABNB,D,20231016,125.19,126.76,124.1858,125.19,2706000
ABOS,D,20231016,3.7,3.87,3.62,3.75,313500
ABSI,D,20231016,1.35,1.45,1.32,1.43,353200
ABUS,D,20231016,1.85,1.93,1.85,1.89,417900
ABVC,D,20231016,0.94,1.05,0.94,0.94,62500
ACACU,D,20231016,10.98,11.33,10.97,10.98,2000
ACAD,D,20231016,23.09,23.81,22.86,23.78,1265500
ACAH,D,20231016,10.49,10.59,10.48,10.49,7500
ACB,D,20231016,0.5121,0.53,0.5024,0.5155,6379600
ACCD,D,20231016,7.02,7.27,6.99,7.16,583500
ACDC,D,20231016,9.5,9.52,9.27,9.47,579900
ACDCW,D,20231016,0.0057,0.0057,0.0057,0.0057,200
ACER,D,20231016,0.7502,0.8,0.7501,0.78,38500
ACET,D,20231016,1.37,1.51,1.31,1.43,201200
ACGL,D,20231016,85.01,86.4,84.57,85.7,2134600
ACGLN,D,20231016,16.9,17.2,16.7,17.13,61500
ACGLO,D,20231016,19.92,19.97,19.66,19.73,23600
ACHC,D,20231016,76.64,78.54,76.64,77.98,559400
ACHL,D,20231016,0.87,0.9079,0.87,0.89,35200
ACHV,D,20231016,3.63,3.88,3.63,3.78,59400
ACIC,D,20231016,7.55,7.62,7.41,7.5,223100
ACIU,D,20231016,2.79,2.79,2.67,2.67,9100
ACIW,D,20231016,20.54,20.95,20.505,20.79,482400
ACLS,D,20231016,161.79,164.55,159.21,163.05,482200
ACLX,D,20231016,33.22,34.53,33.12,34.06,382100
ACMR,D,20231016,18.96,19.51,18.21,18.63,1139300
ACNB,D,20231016,33.08,33.54,32.45,33.05,15300
ACNT,D,20231016,7.87,8.4,7.32,7.73,15000
ACON,D,20231016,0.52,0.539,0.49,0.508,18000
ACONW,D,20231016,0.0205,0.0275,0.0205,0.0274,2000
ACOR,D,20231016,9.1,10.3408,9.1,9.9,30000
ACRS,D,20231016,5.39,5.59,5.2015,5.56,2167200
ACRV,D,20231016,5.98,6.345,5.55,5.76,30900
ACRX,D,20231016,0.68,0.6898,0.6403,0.641,138600
ACST,D,20231016,2.55,2.7463,2.5448,2.68,5200
ACT,D,20231016,28.04,28.39,27.92,28.33,239100
