Symbol,Name,Country,IPO Year,Volume,Sector,Industry
LOVE,The Lovesac Company Common Stock,United States,2018,384094,Consumer Discretionary,Other Specialty Stores
LPAA,Launch One Acquisition Corp. Class A Ordinary shares,United States,2024,13988,,
LPAAU,Launch One Acquisition Corp. Unit,United States,2024,7,Finance,Blank Checks
LPAAW,Launch One Acquisition Corp. Warrant,United States,2024,1575,Finance,Blank Checks
LPBB,Launch Two Acquisition Corp. Class A Ordinary Shares,United States,2024,163600,,
LPBBU,Launch Two Acquisition Corp. Unit,United States,2024,911,Finance,Blank Checks
LPBBW,Launch Two Acquisition Corp. Warrant,United States,2024,75311,,
LPCN,Lipocine Inc. Common Stock,United States,,12504,Health Care,Biotechnology: Pharmaceutical Preparations
LPLA,LPL Financial Holdings Inc. Common Stock,United States,2010,498516,Finance,Investment Bankers/Brokers/Service
LPRO,Open Lending Corporation Common Stock,United States,,3936303,Finance,Finance: Consumer Services
LPSN,LivePerson Inc. Common Stock,United States,2000,742381,Technology,Computer Software: Prepackaged Software
LPTH,LightPath Technologies Inc. Class A Common Stock,United States,1996,346053,Technology,Semiconductors
LPTX,Leap Therapeutics Inc. Common Stock,United States,,512509,Health Care,Biotechnology: Pharmaceutical Preparations
LQDA,Liquidia Corporation Common Stock,United States,2018,595906,Health Care,Biotechnology: Pharmaceutical Preparations
LQDT,Liquidity Services Inc. Common Stock,United States,2006,205415,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation Common Stock,United States,1984,10255024,Technology,Industrial Machinery/Components
LRE,Lead Real Estate Co. Ltd American Depositary Shares,Japan,2023,3194,Consumer Discretionary,Homebuilding
LRFC,Logan Ridge Finance Corporation Common Stock,United States,2013,13655,Finance,Finance: Consumer Services
LRHC,La Rosa Holdings Corp. Common Stock,United States,2023,6269853,Finance,Real Estate
LRMR,Larimar Therapeutics Inc. Common Stock,United States,2014,692833,Health Care,Biotechnology: Pharmaceutical Preparations
LSAK,Lesaka Technologies Inc. Common Stock,South Africa,,12421,Finance,Investment Bankers/Brokers/Service
LSB,LakeShore Biopharma Co. Ltd Ordinary Shares,China,,18480,Health Care,Biotechnology: Pharmaceutical Preparations
LSBK,Lake Shore Bancorp Inc. Common Stock,United States,2006,4930,Finance,Savings Institutions
LSCC,Lattice Semiconductor Corporation Common Stock,United States,,2116489,Technology,Semiconductors
LSE,Leishen Energy Holding Co. Ltd. Ordinary Shares,China,2024,10604,Industrials,Metal Fabrications
LSEA,Landsea Homes Corporation Common Stock,United States,2018,162462,Consumer Discretionary,Homebuilding
LSEAW,Landsea Homes Corporation Warrant,United States,2018,100300,Consumer Discretionary,Homebuilding
LSH,Lakeside Holding Limited Common Stock,United States,2024,13324,,
LSTA,Lisata Therapeutics Inc. Common Stock,United States,,19196,Health Care,Misc Health and Biotechnology Services
LSTR,Landstar System Inc. Common Stock,United States,1993,484735,Industrials,Trucking Freight/Courier Services
LTBR,Lightbridge Corporation Common Stock,United States,,761259,Consumer Discretionary,Professional Services
LTRN,Lantern Pharma Inc. Common Stock,United States,2020,14142,Health Care,Biotechnology: Pharmaceutical Preparations
LTRX,Lantronix Inc. Common Stock,United States,2000,170682,Telecommunications,Computer Communications Equipment
LTRY,Lottery.com Inc. Common Stock,United States,2023,771617,Technology,Computer Software: Prepackaged Software
LTRYW,Lottery.com Inc. Warrants,United States,2023,41213,Technology,Computer Software: Prepackaged Software
LUCD,Lucid Diagnostics Inc. Common Stock,United States,2021,755323,Health Care,Medical/Dental Instruments
LUCY,Innovative Eyewear Inc. Common Stock,United States,2022,68678,Health Care,Ophthalmic Goods
LUCYW,Innovative Eyewear Inc. Series A Warrants 8/16/27,United States,2022,25,Health Care,Ophthalmic Goods
LULU,lululemon athletica inc. Common Stock,Canada,2007,1412560,Consumer Discretionary,Apparel
LUNG,Pulmonx Corporation Common Stock,United States,2020,257626,Health Care,Medical/Dental Instruments
LUNR,Intuitive Machines Inc. Class A Common Stock,United States,2021,3937990,Industrials,Industrial Machinery/Components
LVLU,Lulu's Fashion Lounge Holdings Inc. Common Stock,United States,2021,97110,Consumer Discretionary,Catalog/Specialty Distribution
LVO,LiveOne Inc. Common Stock,United States,,321805,Consumer Discretionary,Restaurants
LVRO,Lavoro Limited Class A Ordinary Shares,Brazil,,2354,Consumer Discretionary,Other Specialty Stores
