Symbol,Name,Country,IPO Year,Volume,Sector,Industry
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,United States,2025,1014854,,
AACBR,Artius II Acquisition Inc. Rights,United States,2025,74,,
AACBU,Artius II Acquisition Inc. Units,United States,2025,900,Finance,Blank Checks
AACG,ATA Creativity Global American Depositary Shares,China,2008,12875,Real Estate,Other Consumer Services
AAL,American Airlines Group Inc. Common Stock,United States,,57884330,Consumer Discretionary,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,United States,,2612,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,3003064,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,661838,Industrials,Industrial Machinery/Components
AAPG,Ascentage Pharma Group International American Depository Shares,China,2025,5810,Health Care,Biotechnology: Pharmaceutical Preparations
AAPL,Apple Inc. Common Stock,United States,1980,38743074,Technology,Computer Manufacturing
AARD,Aardvark Therapeutics Inc. Common Stock,United States,2025,52248,Health Care,Biotechnology: Pharmaceutical Preparations
ABAT,American Battery Technology Company Common Stock,United States,,442939,Basic Materials,Metal Mining
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,4346353,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,2163400,Health Care,Biotechnology: Pharmaceutical Preparations
ABL,Abacus Global Management Inc. Class A Common Stock,United States,2020,263847,Finance,Investment Managers
ABLLL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,United States,,10209,Finance,Investment Managers
ABLLW,Abacus Global Management Inc. Warrant,United States,2020,914,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,China,,9380,Consumer Discretionary,Other Consumer Services
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,5608777,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,135355,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABP,Abpro Holdings Inc Common Stock,United States,2022,6369519,Health Care,Biotechnology: Pharmaceutical Preparations
ABPWW,Abpro Holdings Inc. Warrant,United States,2022,30593,Health Care,Biotechnology: Pharmaceutical Preparations
ABSI,Absci Corporation Common Stock,United States,2021,1533908,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABTS,Abits Group Inc Ordinary Shares,China,,27107,Technology,Computer Software: Programming Data Processing
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,625357,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,United States,,260666,Health Care,Biotechnology: Pharmaceutical Preparations
ABVE,Above Food Ingredients Inc. Common Stock,Canada,,4916515,Consumer Staples,Packaged Foods
ABVEW,Above Food Ingredients Inc. Warrants,Canada,,54669,Consumer Staples,Packaged Foods
ABVX,Abivax SA American Depositary Shares,France,2023,45621,Health Care,Biotechnology: Pharmaceutical Preparations
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985,1466047,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Aurora Cannabis Inc. Common Shares,Canada,,578940,Health Care, Medicinal Chemicals and Botanical Products 
ACDC,ProFrac Holding Corp. Class A Common Stock,United States,2022,736734,Energy,Oilfield Services/Equipment
ACET,Adicet Bio Inc. Common Stock ,United States,2018,397674,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,,1182976,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda,,26165,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,,17144,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,1367438,Health Care,Medical Specialities
ACHV,Achieve Life Sciences Inc. Common Shares,United States,,192182,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIC,American Coastal Insurance Corporation Common Stock,United States,,136214,Finance,Property-Casualty Insurers
ACIU,AC Immune SA Common Stock,Switzerland,2016,245718,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,United States,,623917,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,536065,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,United States,2022,359989,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,1643095,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,United States,,15500,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,United States,,67938,Industrials,Steel/Iron Ore
ACOG,Alpha Cognition Inc. Common Stock,Canada,,35526,,
ACON,Aclarion Inc. Common Stock,United States,2022,60584,Health Care,Medical Specialities
ACONW,Aclarion Inc. Warrant,United States,2022,1803,Health Care,Medical Specialities
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,715605,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,United States,2022,814507,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,United States,2021,486791,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,216783,Miscellaneous,Multi-Sector Companies
ACTU,Actuate Therapeutics Inc. Common stock,United States,2024,23231,Health Care,Biotechnology: Pharmaceutical Preparations
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States,2021,55358,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,China,2021,17269,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,2015,418365,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,United States,1986,3163425,Technology,Computer Software: Prepackaged Software
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,United States,,707669,Consumer Discretionary,Engineering & Construction
ADEA,Adeia Inc. Common Stock,United States,2003,310003,Technology,Computer Software: Prepackaged Software
ADGM,Adagio Medical Holdings Inc Common Stock,United States,,310320,Health Care,Medical/Dental Instruments
ADI,Analog Devices Inc. Common Stock,United States,,3401605,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,2018,48093,Health Care,Biotechnology: Pharmaceutical Preparations
ADMA,ADMA Biologics Inc Common Stock,United States,,10267679,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,2018,48896,Miscellaneous,Industrial Machinery/Components
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,2018,107704,Miscellaneous,Industrial Machinery/Components
ADP,Automatic Data Processing Inc. Common Stock,United States,,1669235,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019,1138470,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Ireland,,88031,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,Ireland,,4035,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,United States,,1171975,Technology,Computer Software: Prepackaged Software
ADTN,ADTRAN Holdings Inc. Common Stock,United States,1994,530748,Utilities,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,United States,2020,118509,Health Care,Biotechnology: Pharmaceutical Preparations
ADUR,Aduro Clean Technologies Inc. Common Stock,Canada,,31275,,
ADUS,Addus HomeCare Corporation Common Stock,United States,2009,117707,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,2019,212503,Consumer Discretionary,Business Services
ADVB,Advanced Biomed Inc. Common Stock,Taiwan,2025,25388,Health Care,Medical Specialities
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,2014,779943,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Advantage Solutions Inc. Warrant,United States,2019,5000,Consumer Discretionary,Business Services
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,,1779,Health Care,Biotechnology: Pharmaceutical Preparations
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,China,,137987,Industrials,Building Materials
AEHR,Aehr Test Systems Common Stock,United States,1997,338543,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),United States,2020,15305,Finance,Real Estate
AEIS,Advanced Energy Industries Inc. Common Stock,United States,1995,267249,Technology,Industrial Machinery/Components
AEMD,Aethlon Medical Inc. Common Stock,United States,,88460,Health Care,Medical/Dental Instruments
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,United States,,26455,Consumer Discretionary,Durable Goods
AENTW,Alliance Entertainment Holding Corporation Warrants,United States,,28736,Consumer Discretionary,Durable Goods
AEP,American Electric Power Company Inc. Common Stock,United States,,3303394,Utilities,Electric Utilities: Central
AERT,Aeries Technology Inc. Class A Ordinary Share,United States,2021,10731,Consumer Discretionary,Professional Services
AEVA,Aeva Technologies Inc. Common Stock,United States,,788095,Consumer Discretionary,Auto Parts:O.E.M.
AEVAW,Aeva Technologies Inc. Warrants,United States,,12632,Consumer Discretionary,Auto Parts:O.E.M.
AEYE,AudioEye Inc. Common Stock,United States,,65396,Technology,Computer Software: Prepackaged Software
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States,2017,5158,Finance,Banks
AFCG,Advanced Flower Capital Inc. Common Stock,United States,2021,75875,Finance,Real Estate
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,United States,2024,29,,
AFJKR,Aimei Health Technology Co. Ltd Right,United States,2024,44,,
AFMD,Affimed N.V.,Germany,2014,166327,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,Gibraltar,,11445,Consumer Staples,Packaged Foods
AFRIW,Forafric Global PLC Warrants,Gibraltar,,10683,Consumer Staples,Packaged Foods
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,2021,4703174,Finance,Finance: Consumer Services
AFYA,Afya Limited Class A Common Shares,Brazil,2019,83881,Real Estate,Other Consumer Services
AGAE,Allied Gaming & Entertainment Inc. Common Stock,United States,2017,124675,Consumer Discretionary,Services-Misc. Amusement & Recreation
AGEN,Agenus Inc. Common Stock,United States,2000,1371367,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,United States,2021,6569,Consumer Staples,Farming/Seeds/Milling
AGH,Aureus Greenway Holdings Inc. Common Stock,United States,2025,92699,Consumer Discretionary,Hotels/Resorts
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,2013,530594,Health Care,Biotechnology: Pharmaceutical Preparations
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong,2018,1877673716,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,United States,2008,30131923,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,United States,,5861,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,21528,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States,,24477,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,18724,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,19463,Real Estate,Real Estate Investment Trusts
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,Canada,2021,957813,Industrials,Metal Fabrications
AGYS,Agilysys Inc. Common Stock (DE),United States,,149258,Technology,EDP Services
AHCO,AdaptHealth Corp. Common Stock,United States,2018,1633264,Health Care,Medical/Nursing Services
AHG,Akso Health Group ADS,China,2017,4951,Consumer Discretionary,Business Services
AIFE,Aifeex Nexus Acquisition Corporation Class A Ordinary Shares,United States,2025,11882,,
AIFER,Aifeex Nexus Acquisition Corporation Right,United States,2025,100,,
AIFF,Firefly Neuroscience Inc. Common Stock,United States,,160073,Technology,Computer Software: Prepackaged Software
AIFU,AIFU Inc. American Depositary Shares,China,2007,1193468,Finance,Specialty Insurers
AIHS,Senmiao Technology Limited Common Stock,China,2018,15803,Finance,Finance: Consumer Services
AIMAU,Aimfinity Investment Corp. I Unit,United States,2022,10,Finance,Blank Checks
AIMAW,Aimfinity Investment Corp. I Warrant,United States,2022,100,Finance,Blank Checks
AIMBU,Aimfinity Investment Corp. I Subunit,United States,2022,2013,Finance,Blank Checks
AIMD,Ainos Inc. Common Stock,United States,,51033,Health Care,Biotechnology: Pharmaceutical Preparations
AIOT,PowerFleet Inc. Common Stock,United States,,665698,Telecommunications,Telecommunications Equipment
AIP,Arteris Inc. Common Stock,United States,2021,171439,Technology,Semiconductors
AIRE,reAlpha Tech Corp. Common Stock,United States,,70493,Finance,Real Estate
AIRG,Airgain Inc. Common Stock,United States,2016,14820,Technology,Radio And Television Broadcasting And Communications Equipment
AIRJ,AirJoule Technologies Corporation Class A Common Stock,United States,2022,91209,Industrials,Industrial Machinery/Components
AIRJW,AirJoule Technologies Corporation Warrant,United States,2022,15962,Industrials,Industrial Machinery/Components
AIRS,AirSculpt Technologies Inc. Common Stock,United States,2021,163781,Health Care,Medical/Nursing Services
AIRT,Air T Inc. Common Stock,United States,,1088,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States,,1192,Consumer Discretionary,Air Freight/Delivery Services
AISP,Airship AI Holdings Inc. Class A Common Stock,United States,2021,533748,Technology,Computer Software: Prepackaged Software
AISPW,Airship AI Holdings Inc. Warrants,United States,2021,30608,Technology,Computer Software: Prepackaged Software
AIXI,XIAO-I Corporation American Depositary Shares,China,2023,58089,Technology,Computer Software: Prepackaged Software
AKAM,Akamai Technologies Inc. Common Stock,United States,1999,1354992,Consumer Discretionary,Business Services
AKAN,Akanda Corp. Common Shares,United Kingdom,2022,12383,Health Care, Medicinal Chemicals and Botanical Products 
AKBA,Akebia Therapeutics Inc. Common Stock,United States,2014,2561663,Health Care,Biotechnology: Pharmaceutical Preparations
AKRO,Akero Therapeutics Inc. Common Stock,United States,2019,1409574,Health Care,Biotechnology: Pharmaceutical Preparations
AKTX,Akari Therapeutics plc ADS,United Kingdom,,6085,Health Care,Biotechnology: Pharmaceutical Preparations
AKYA,Akoya BioSciences Inc. Common Stock,United States,2021,86115,Industrials,Biotechnology: Laboratory Analytical Instruments
ALAB,Astera Labs Inc. Common Stock,United States,2024,1869530,Technology,Semiconductors
ALAR,Alarum Technologies Ltd. American Depositary Share,Israel,2018,73454,Technology,Computer Software: Prepackaged Software
ALBT,Avalon GloboCare Corp. Common Stock,United States,,244835,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALCO,Alico Inc. Common Stock,United States,,24073,,
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,United States,2023,12,Finance,Blank Checks
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,United States,2023,134,Finance,Blank Checks
ALDF,Aldel Financial II Inc. Class A Ordinary Shares,United States,2024,109515,,
ALDFU,Aldel Financial II Inc. Units,United States,2024,1201,Finance,Blank Checks
ALDFW,Aldel Financial II Inc. Warrants,United States,2024,544,,
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,2014,911043,Health Care,Biotechnology: Pharmaceutical Preparations
ALEC,Alector Inc. Common Stock,United States,2019,605659,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,United States,2024,268837,,
ALFUU,Centurion Acquisition Corp. Unit,United States,2024,401,,
ALFUW,Centurion Acquisition Corp. Warrant,United States,2024,6867,Finance,Blank Checks
ALGM,Allegro MicroSystems Inc. Common Stock,United States,2020,1855873,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,United States,2001,1037993,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,United States,2020,69543,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGT,Allegiant Travel Company Common Stock,United States,2006,283383,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Alignment Healthcare Inc. Common Stock,United States,2021,1987412,Health Care,Medical Specialities
ALKS,Alkermes plc Ordinary Shares,Ireland,1991,1517299,Health Care,Biotechnology: Pharmaceutical Preparations
ALKT,Alkami Technology Inc. Common Stock,United States,2021,1199029,Technology,Computer Software: Prepackaged Software
ALLK,Allakos Inc. Common Stock,United States,2018,310222,Health Care,Biotechnology: Pharmaceutical Preparations
ALLO,Allogene Therapeutics Inc. Common Stock,United States,2018,1610292,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLR,Allarity Therapeutics Inc. Common Stock,United States,,995448,Health Care,Biotechnology: Pharmaceutical Preparations
ALLT,Allot Ltd. Ordinary Shares,Israel,2006,310230,Telecommunications,Computer Communications Equipment
ALMS,Alumis Inc. Common Stock,United States,2024,130588,Health Care,Biotechnology: Pharmaceutical Preparations
ALMU,Aeluma Inc. Common Stock,United States,,364300,Technology,Semiconductors
ALNT,Allient Inc. Common Stock,United States,,53836,Industrials,Electrical Products
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States,2004,510782,Health Care,Biotechnology: Pharmaceutical Preparations
ALOT,AstroNova Inc. Common Stock,United States,1983,4376,Technology,Computer peripheral equipment
ALRM,Alarm.com Holdings Inc. Common Stock,United States,2015,244301,Technology,Computer Software: Prepackaged Software
ALRS,Alerus Financial Corporation Common Stock,United States,2019,49666,Finance,Major Banks
ALT,Altimmune Inc. Common Stock,United States,,1770366,Health Care,Biotechnology: Pharmaceutical Preparations
ALTI,AlTi Global Inc. Class A Common Stock,United States,2021,52686,Finance,Investment Managers
ALTO,Alto Ingredients Inc. Common Stock,United States,,121527,Industrials,Major Chemicals
ALTS,ALT5 Sigma Corporation Common Stock,United States,,224040,Consumer Discretionary,Home Furnishings
ALVO,Alvotech Ordinary Shares,Luxembourg,,127104,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALVOW,Alvotech Warrant,Luxembourg,,3222,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALXO,ALX Oncology Holdings Inc. Common Stock,United States,2020,427897,Health Care,Biotechnology: Pharmaceutical Preparations
ALZN,Alzamend Neuro Inc. Common Stock,United States,2021,136535,Health Care,Biotechnology: Pharmaceutical Preparations
AMAL,Amalgamated Financial Corp. Common Stock (DE),United States,2018,165739,Finance,Major Banks
AMAT,Applied Materials Inc. Common Stock,United States,1972,7052725,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,United States,2012,354179,Technology,Semiconductors
AMBR,Amber International Holding Limited American Depositary Shares,Hong Kong,2017,57340,Finance,Finance: Consumer Services
AMCX,AMC Networks Inc. Class A Common Stock,United States,,246380,Telecommunications,Cable & Other Pay Television Services
AMD,Advanced Micro Devices Inc. Common Stock,United States,,30456683,Technology,Semiconductors
AMED,Amedisys Inc Common Stock,United States,,295185,Health Care,Medical/Nursing Services
AMGN,Amgen Inc. Common Stock,United States,1983,2082462,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMIX,Autonomix Medical Inc. Common Stock,United States,2024,275751,Health Care,Medical/Dental Instruments
AMKR,Amkor Technology Inc. Common Stock,United States,1998,2937209,Technology,Semiconductors
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,United States,2022,547103,Health Care,Biotechnology: Pharmaceutical Preparations
AMOD,Alpha Modus Holdings Inc. Class A Common Stock,United States,,92985,Miscellaneous,Multi-Sector Companies
AMODW,Alpha Modus Holdings Inc. Warrant,United States,,48921,Miscellaneous,Multi-Sector Companies
AMPG,Amplitech Group Inc. Common Stock,United States,,200636,Telecommunications,Telecommunications Equipment
AMPGW,Amplitech Group Inc. Warrants,United States,,1037,Telecommunications,Telecommunications Equipment
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,United States,2014,355520,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,Amplitude Inc. Class A Common Stock,United States,,795817,Technology,Computer Software: Prepackaged Software
AMRK,A-Mark Precious Metals Inc. Common Stock,United States,,271705,Industrials,Other Specialty Stores
AMRN,Amarin Corporation plc,Ireland,,81228,Health Care,Biotechnology: Pharmaceutical Preparations
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,United States,,1359832,Health Care,Biotechnology: Pharmaceutical Preparations
AMSC,American Superconductor Corporation Common Stock,United States,1991,271758,Consumer Discretionary,Metal Fabrications
AMSF,AMERISAFE Inc. Common Stock,United States,2005,78184,Finance,Property-Casualty Insurers
AMST,Amesite Inc. Common Stock,United States,2020,17590,Technology,Computer Software: Prepackaged Software
AMTX,Aemetis Inc. (DE) Common Stock,United States,,780138,Industrials,Major Chemicals
AMWD,American Woodmark Corporation Common Stock,United States,1986,146634,Basic Materials,Forest Products
AMZN,Amazon.com Inc. Common Stock,United States,1997,33224732,Consumer Discretionary,Catalog/Specialty Distribution
ANAB,AnaptysBio Inc. Common Stock,United States,2017,319755,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,Andersons Inc. (The) Common Stock,United States,,176273,Industrials,Farming/Seeds/Milling
ANEB,Anebulo Pharmaceuticals Inc. Common Stock,United States,2021,1249,Health Care,Biotechnology: Pharmaceutical Preparations
ANGH,Anghami Inc. Ordinary Shares,United Arab Emirates,,2525,Consumer Discretionary,Telecommunications Equipment
ANGHW,Anghami Inc. Warrants,United Arab Emirates,,340,Consumer Discretionary,Telecommunications Equipment
ANGI,Angi Inc. Class A Common Stock,United States,,997740,Consumer Discretionary,Advertising
ANGO,AngioDynamics Inc. Common Stock,United States,2004,194073,Health Care,Medical/Dental Instruments
ANIK,Anika Therapeutics Inc. Common Stock,United States,,44089,Health Care,Medical/Dental Instruments
ANIP,ANI Pharmaceuticals Inc.,United States,,1089005,Health Care,Biotechnology: Pharmaceutical Preparations
ANIX,Anixa Biosciences Inc. Common Stock,United States,,40243,Health Care,Biotechnology: Pharmaceutical Preparations
ANL,Adlai Nortye Ltd. American Depositary Shares,Cayman Islands,2023,37775,Health Care,Biotechnology: Pharmaceutical Preparations
ANNA,AleAnna Inc. Class A Common Stock,United States,,20455,Energy,Oil & Gas Production
ANNAW,AleAnna Inc. Warrant,United States,,1857,Energy,Oil & Gas Production
ANNX,Annexon Inc. Common Stock,United States,2020,816658,Health Care,Biotechnology: Pharmaceutical Preparations
ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,United States,2024,1847340,,
ANSCW,Agriculture & Natural Solutions Acquisition Corporation Warrant,United States,2024,937,,
ANSS,ANSYS Inc. Common Stock,United States,1996,390456,Technology,Computer Software: Prepackaged Software
ANTE,AirNet Technology Inc. American Depositary Shares,China,2007,57081,Consumer Discretionary,Advertising
ANTX,AN2 Therapeutics Inc. Common Stock,United States,2022,43830,Health Care,Biotechnology: Pharmaceutical Preparations
ANY,Sphere 3D Corp. Common Shares,Canada,,227770,Finance,Finance: Consumer Services
AOSL,Alpha and Omega Semiconductor Limited Common Shares,Bermuda,2010,342826,Technology,Semiconductors
AOUT,American Outdoor Brands Inc. Common Stock ,United States,,76901,Consumer Discretionary,Recreational Games/Products/Toys
APA,APA Corporation Common Stock,United States,,4924533,Energy,Oil & Gas Production
APCX,AppTech Payments Corp. Common Stock,United States,,497121,Technology,Computer Software: Prepackaged Software
APCXW,AppTech Payments Corp. Warrant,United States,,3264,Technology,Computer Software: Prepackaged Software
APDN,Applied DNA Sciences Inc. Common Stock,United States,,340887,Consumer Discretionary,Other Consumer Services
APEI,American Public Education Inc. Common Stock,United States,2007,599919,Real Estate,Other Consumer Services
APGE,Apogee Therapeutics Inc. Common Stock,United States,2023,484306,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
API,Agora Inc. American Depositary Shares,China,2020,816400,Technology,Computer Software: Prepackaged Software
APLD,Applied Digital Corporation Common Stock,United States,2022,29869761,Finance,Finance: Consumer Services
APLM,Apollomics Inc. Class A Ordinary Shares,United States,,19191,Health Care,Biotechnology: Pharmaceutical Preparations
APLMW,Apollomics Inc. Warrant,United States,,561,Health Care,Biotechnology: Pharmaceutical Preparations
APLS,Apellis Pharmaceuticals Inc. Common Stock,United States,2017,1824433,Health Care,Biotechnology: Pharmaceutical Preparations
APLT,Applied Therapeutics Inc. Common Stock,United States,2019,744567,Health Care,Biotechnology: Pharmaceutical Preparations
APM,Aptorum Group Limited Class A Ordinary Shares,Hong Kong,2018,18188,Health Care,Biotechnology: Pharmaceutical Preparations
APOG,Apogee Enterprises Inc. Common Stock,United States,,250841,Consumer Discretionary,Auto Parts:O.E.M.
APP,Applovin Corporation Class A Common Stock,United States,2021,6313779,Technology,Computer Software: Programming Data Processing
APPF,AppFolio Inc. Class A Common Stock,United States,2015,940842,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation Class A Common Stock,United States,2017,358921,Technology,Computer Software: Prepackaged Software
APPS,Digital Turbine Inc. Common Stock,United States,,1896761,Miscellaneous,Multi-Sector Companies
APRE,Aprea Therapeutics Inc. Common stock,United States,2019,83781,Health Care,Biotechnology: Pharmaceutical Preparations
APVO,Aptevo Therapeutics Inc. Common Stock,United States,,626323,Health Care,Biotechnology: Pharmaceutical Preparations
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),Taiwan,,6043,Industrials,Telecommunications Equipment
APYX,Apyx Medical Corporation Common Stock,United States,,26718,Health Care,Medical/Dental Instruments
AQB,AquaBounty Technologies Inc. Common Stock,United States,,74266,Consumer Staples,Meat/Poultry/Fish
AQMS,Aqua Metals Inc. Common Stock,United States,2015,122599,Industrials,Metal Fabrications
AQST,Aquestive Therapeutics Inc. Common Stock,United States,2018,744739,Health Care,Biotechnology: Pharmaceutical Preparations
ARAY,Accuray Incorporated Common Stock,United States,2007,361259,Health Care,Medical/Dental Instruments
ARBB,ARB IOT Group Limited Ordinary Shares,Malaysia,2023,429594,Technology,EDP Services
ARBE,Arbe Robotics Ltd. Ordinary Shares,Israel,,2715204,Technology,EDP Services
ARBEW,Arbe Robotics Ltd. Warrant,Israel,,6314,Technology,EDP Services
ARBK,Argo Blockchain plc American Depositary Shares,United Kingdom,2021,143357,Finance,Finance: Consumer Services
ARBKL,Argo Blockchain plc 8.75% Senior Notes due 2026,United Kingdom,,1098,Finance,Finance: Consumer Services
ARCB,ArcBest Corporation Common Stock,United States,,837857,Industrials,Trucking Freight/Courier Services
ARCC,Ares Capital Corporation Common Stock,United States,2004,4628626,Finance,Finance: Consumer Services
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,Israel,2013,378419,Health Care,Biotechnology: Pharmaceutical Preparations
ARDX,Ardelyx Inc. Common Stock,United States,2014,4933964,Health Care,Biotechnology: Pharmaceutical Preparations
AREB,American Rebel Holdings Inc. Common Stock,United States,,2338603,Industrials,Plastic Products
AREBW,American Rebel Holdings Inc. Warrants,United States,,27539,Industrials,Plastic Products
AREC,American Resources Corporation Class A Common Stock,United States,,1334069,Energy,Coal Mining
