<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
ALCYU,D,20230727,10.3,10.3,10.29,10.29,2400
ALCYW,D,20230727,0.17,0.175,0.17,0.175,500
ALDX,D,20230727,8.02,8.02,7.555,7.64,643400
ALEC,D,20230727,6.3,6.47,6.14,6.185,468700
ALGM,D,20230727,49.9,50.4391,48.93,49.3,1183900
ALGN,D,20230727,403.83,413.2,379.52,385.31,3474500
ALGS,D,20230727,0.9045,0.9199,0.8701,0.875,66800
ALGT,D,20230727,127.17,127.17,122.85,124.1,190300
ALHC,D,20230727,6.07,6.12,5.76,5.81,657200
ALIM,D,20230727,3.4749,3.4749,3.0459,3.38,51700
ALKS,D,20230727,30.22,30.62,29.96,30.28,2395500
ALKT,D,20230727,16.72,16.72,16.285,16.38,247900
ALLK,D,20230727,4.78,4.78,4.65,4.66,703900
ALLO,D,20230727,5.14,5.15,4.71,4.73,2022200
ALLR,D,20230727,2.73,2.838,2.63,2.69,199900
ALLT,D,20230727,2.55,2.61,2.45,2.5,107200
ALNY,D,20230727,196.18,196.54,192.58,194.87,853800
ALORW,D,20230727,0.03,0.0301,0.03,0.0301,92700
ALOT,D,20230727,14.52,14.54,14.25,14.25,27200
ALPN,D,20230727,11.83,12.005,11.566,11.66,180100
ALPP,D,20230727,1.91,1.99,1.85,1.87,143500
ALRM,D,20230727,55,55.19,54.24,54.55,189900
ALRN,D,20230727,1.84,1.87,1.76,1.76,26400
ALRS,D,20230727,19.74,20.42,19.375,19.59,80600
ALSA,D,20230727,10.78,10.81,10.78,10.8,3600
ALSAR,D,20230727,0.105,0.105,0.105,0.105,100
ALSAW,D,20230727,0.0148,0.0149,0.0148,0.0149,1500
ALT,D,20230727,3.06,3.08,2.98,2.99,961300
ALTI,D,20230727,7.97,8,6.68,6.87,140500
ALTO,D,20230727,3.95,4.01,3.845,3.94,1170400
ALTR,D,20230727,74.24,74.7168,72.78,73.19,148200
ALTU,D,20230727,10.02,10.02,10.02,10.02,100
ALTUW,D,20230727,0.0505,0.0505,0.0505,0.0505,600
ALTY,D,20230727,11.42,11.55,11.37,11.37,12300
ALVO,D,20230727,9.95,10.12,9.6,9.62,31700
ALVOW,D,20230727,1.66,2,1.52,1.84,24800
ALVR,D,20230727,3.16,3.16,2.85,2.87,773600
ALXO,D,20230727,5.97,5.975,5.55,5.7,222100
ALYA,D,20230727,1.97,1.97,1.85,1.87,21600
ALZN,D,20230727,0.445,0.4894,0.445,0.4699,45800
AMAL,D,20230727,19.3,20.01,18.5075,19.03,160800
AMAM,D,20230727,15.33,15.85,14.89,14.97,232800
AMAO,D,20230727,10.79,10.8001,10.77,10.8,10100
AMAOW,D,20230727,0.0545,0.0572,0.0545,0.0571,8300
AMAT,D,20230727,144.23,150.425,144.21,146.14,8928800
AMBA,D,20230727,82.69,82.83,79.35,79.77,294700
AMCX,D,20230727,13.54,13.67,12.92,12.94,259600
